center 0,score,MILLISEC
1054.949082992684,4710.032292894752,290430
1056.886219195871,4714.11967385698,290464
1060.1740850749616,5044.309335468031,290497
1061.8355083953363,5125.753110817529,290530
1061.367400402286,5167.8413632936945,290564
1061.7690139440135,4959.1610283572145,290597
1064.5761730760412,5196.371718770717,290630
1069.9484362264998,6338.543816467476,290664
1075.2172658690451,7068.831177095266,290697
1079.2122851621039,7691.843555189905,290730
1079.407722221129,7603.569209394093,290764
1078.4538480946348,6854.097529874476,290797
1079.6618773442447,6482.830609500829,290830
1077.8821758916006,5833.614895188618,290864
1077.6992144721723,5529.003126062302,290897
1080.6167078334277,5999.3307512444535,290930
1084.8016685616396,6427.33988588249,290964
1087.9022749438495,6827.240171996504,290997
1090.2163595321938,7046.289408370799,291030
1091.7900252184268,7358.740833546746,291064
1091.6205845494108,7527.49938800273,291097
1093.1700108998707,7624.527269177101,291130
1092.1252429189765,7642.253779167104,291164
1091.6197596703873,7588.9002971654,291197
1090.1950604435842,7968.330184409855,291230
1086.940255299993,8256.081408385971,291264
1085.487702652526,8765.647390141281,291297
1083.3168555558627,9276.590468557668,291330
1081.8025257927034,9879.295188527312,291364
1080.7718102142476,10173.494246218517,291397
1078.699050885747,10553.557618188464,291430
1076.6187747091512,10922.813943765734,291464
1076.5176009518075,11490.254840965521,291497
1073.4204368908233,11764.965665114154,291530
1071.83939081147,11798.520304896767,291564
1071.8497419737505,11737.930630804734,291597
1071.2223314877601,11705.516521927402,291630
1070.301223178147,11869.891663362436,291664
1070.7022521268402,11587.087290512232,291697
1071.304141838318,11421.83568006503,291730
1072.814311968295,11266.05203599392,291764
1073.8495117417033,11262.026132105264,291797
1074.5094874539877,10950.561371368814,291830
1074.7184312746638,10519.893478525491,291864
1076.3110419148852,10140.941052094222,291897
1076.6594712508656,9612.182965805976,291930
1077.9366805419127,8635.712742282796,291964
1079.1833984544553,7586.192500292217,291997
1079.529546910366,6745.75734750007,292030
1078.4632432955848,6118.43286036833,292064
1076.7237739419193,5987.914628270564,292097
1071.8871543824719,5631.728269847326,292130
1068.0168272122144,5476.45679155536,292164
1063.508523809634,5563.819784253117,292197
1061.7307048127261,5558.510457871927,292230
1057.774431062317,5882.652990791572,292264
1056.2861780076964,6138.310149892977,292297
1057.355397580784,6546.963206782113,292330
1056.1921717324942,7309.496370997452,292364
1057.217927093443,8279.65463224329,292397
1057.164759210038,9720.871884382093,292430
1060.3844615365442,10963.793731852798,292464
1065.4152225407292,11505.003578488711,292497
1068.1048543085979,12210.420202409052,292530
1071.4050568108257,13027.604240191407,292564
1070.745982628429,14010.040685079866,292597
1071.6592551371064,13405.240878982266,292630
1074.5479011398418,12423.608155960708,292664
1076.6539499320947,12079.072095618481,292697
1080.0213273475515,11446.532474432817,292730
1081.1298418833567,10798.064989268303,292764
1085.944878318693,9901.121253398736,292797
1090.3922332816962,8846.77759895462,292830
1093.0056441003023,8105.661964883101,292864
1097.2045214071318,7329.638203746863,292897
1099.1887213754042,6777.554801103908,292930
1099.963811704217,6467.412941129519,292964
1102.8516242200712,6144.694955150824,292997
1101.7859482975166,6189.92413414251,293030
1101.3117170239188,5964.501945827517,293064
1098.1122981922247,6037.980558990937,293097
1098.7369657940578,5894.4799976672075,293130
1099.7012905542342,5725.271553351312,293164
1098.486095477577,5802.898042427618,293197
1099.6006345823857,5705.244426014719,293230
1097.4036800223396,5899.963073426642,293264
1097.6691712370932,5680.590515672798,293297
1097.8705753702473,5634.19973620202,293330
1097.4454513610222,5627.6812870018975,293364
1098.2477884544503,5583.79515490905,293397
1097.8943479949019,5538.000640849142,293430
1097.8758286001473,5554.06497554006,293464
1096.790117902649,5580.83727109384,293497
1097.6430019372817,5445.840298112669,293530
1096.4787868825547,5610.069916561061,293564
1097.2894006014626,5573.77132768295,293597
1097.7541582412266,5501.808064095911,293630
1098.1474099960983,5697.6659188609965,293664
1097.8699822009835,5736.102182012556,293697
1097.1094933194377,5632.1596683664775,293730
1097.9849271106682,5663.699837780336,293764
1097.476748972932,5803.385463804129,293797
1098.4100175577576,5850.6333287664,293830
1097.1266028436123,5774.817332835054,293864
1097.9079321221893,5831.172583178043,293897
1097.9946480302137,5900.352897007126,293930
1098.329584626828,5836.3235334594265,293964
1097.0497526861773,6071.440131197071,293997
1095.4038845418986,6195.329730519039,294030
1095.2259039264604,6274.819368467604,294064
1092.9443717502868,6497.200259371419,294097
1090.4495542630405,6605.169607536591,294130
1087.5069324345543,6642.271906786169,294164
1087.3478231495574,6515.311491919028,294197
1087.5546006454833,6355.390614843077,294230
1088.4871982445957,6505.219257630268,294264
1091.4329245963377,6099.571107085232,294297
1096.0676647366329,5401.474318784354,294330
1094.9585167957168,5385.646496523788,294364
1095.1088234554795,5422.664789955453,294397
1091.6620833851182,5972.095699263264,294430
1091.5359368791048,6036.498501454824,294464
1094.5074853258925,5588.36456559089,294497
1094.5233714326473,5630.389387711013,294530
1094.9066333908397,5594.264156737308,294564
1094.1205139805656,5898.100886902574,294597
1093.693623689265,5751.6575014445025,294630
1095.5875180690755,5715.990251243067,294664
1095.2745515387783,5694.656751528604,294697
1095.0148206897506,5760.142469793497,294730
1094.4334111094774,5850.708647273549,294764
1094.5598636538264,5831.104878117074,294797
1094.8498720625164,5681.757644691223,294830
1095.1408052101299,5760.616763708886,294864
1094.6166527705957,5666.383477297246,294897
1094.8068251889827,5569.815519620401,294930
1094.9093989203084,5640.208155968922,294964
1095.0166531124491,5682.529406410196,294997
1094.9701711009907,5623.924399067157,295030
1094.6815342875036,5524.1384899570885,295064
1094.2158373081415,5618.90138404292,295097
1094.111548578854,5752.7192663820215,295130
