center 0,center 1,score,MILLISEC
1129.5135031817485,1005.2394695333081,1003.4637874738659,290430
1005.5280367771084,1133.9234928240153,757.6253218186097,290464
1141.360639766377,1006.0497152806847,650.1382270265802,290497
1006.980300481981,1144.1183202653694,612.1123579913549,290530
1006.3114780555221,1143.9512839224317,621.1094851143687,290564
1141.6823129622428,1008.493481265194,701.7374550392626,290597
1146.2391657602793,1010.1341779532158,750.4754693401135,290630
1009.400398027113,1160.7704935255804,839.4464217758429,290664
1011.6941563825576,1170.5019300987765,1016.0530188468401,290697
1178.8306229302993,1012.8000599833067,1075.9680753910316,290730
1177.689380125977,1013.8866169512303,1164.0463557103762,290764
1016.1064032418768,1171.9750153737716,1023.2917103729442,290797
1171.052735917439,1018.7346382954488,914.6379223371248,290830
1163.6873370642204,1020.6787351098541,925.2644392824443,290864
1160.022282361369,1022.8171692127081,1010.9447882694633,290897
1165.7013503195017,1023.8936128427117,1173.0664932557677,290930
1025.9793997520449,1173.035071776032,1237.2509240201189,290964
1000.0353159275726,1146.4802476213679,1680.171847484417,290997
1029.7046909245455,1180.9838624436659,1553.7963518480497,291030
1152.377317609401,1000.9090866319657,1852.5108346426666,291064
1153.3063939366045,999.09187046862,1819.7907683729086,291097
1187.3481637474797,1030.384575668131,1711.5109533186835,291130
1029.175563234923,1186.5497624450563,1698.260520679739,291164
997.584895020714,1154.3096694368364,1693.8631173771319,291197
1026.5085220373414,1185.7248680529483,1884.3674231551006,291230
1184.0882887183723,1022.1748996877401,1964.2544770136149,291264
1018.8139953071236,1185.4982636706295,2097.57251337073,291297
976.0838704795432,1154.8055122734095,1610.648409638862,291330
1156.1463628026825,970.2867702777346,1588.7860364777953,291364
966.9543912437508,1156.650089527912,1537.2243388148013,291397
1156.0794981306512,962.6283800183908,1571.9571944563556,291430
958.3795165002016,1155.444946848451,1602.4658225639414,291464
1157.643558698877,954.8286643312025,1618.123310396481,291497
1155.249918742687,950.6762141130278,1720.8695148974148,291530
949.5163047969934,1153.3881148211212,1823.2287234934,291564
1153.0227390600699,950.0902463442712,1854.3474468412835,291597
950.7111676303,1151.5631073927336,2023.5561124076535,291630
1150.9749427884278,949.2906437627261,2107.518109725172,291664
1150.28586457645,951.3268334524257,2086.7602347177194,291697
1150.1184443633838,953.0826880507193,2104.2942562961284,291730
954.8907141723871,1151.4300438322337,1995.4020912398933,291764
956.6025555445261,1152.0141492064884,2097.4603071033953,291797
1150.7384962571196,960.16597424929,2234.2686967069067,291830
1148.5428987164719,963.981730111952,2344.8154889256293,291864
1147.0995935909355,970.1282144008098,2624.4124795049675,291897
975.7138941145083,1143.9565226751042,2818.8432702110977,291930
1039.7470176983738,1230.6953319160677,2801.9113498701286,291964
1043.5388897327634,1221.7614333412232,2504.0684922491214,291997
1046.4446292963833,1211.8692173662964,2367.310253403999,292030
1109.3905803717946,954.7538949907457,2292.4321458663326,292064
1107.915878403381,951.9553560960724,2096.1251053316,292097
1180.272849810585,1044.7907305254435,2694.863526488388,292130
951.429976403939,1097.1635399142829,2078.3333462076034,292164
1092.7555372790814,946.5204699318447,2142.2685967249813,292197
1090.3691665595572,947.176857825401,2277.8644929730594,292230
1028.6387267161604,1174.3172484469433,2487.095919804983,292264
944.2775015852067,1084.288347113319,3001.8242514134745,292297
1025.1233237552435,1186.283692882946,2391.336874401737,292330
997.0610236269431,1144.888893890821,2064.757356576501,292364
1121.1757187509274,961.2812396072163,2143.7559616900076,292397
950.1110981730483,1128.5338665680313,2080.547656766955,292430
1137.4000602849774,944.861063413895,2066.6900559833675,292464
1145.390790914329,945.4518699803289,1910.8662734681318,292497
1150.9020731045455,943.9090261146766,1927.3510418930564,292530
942.7204692095477,1157.1947818783444,1987.7888494507374,292564
1160.0411773134372,936.8031906009169,2049.5929943296137,292597
1158.1469669067185,941.927687482688,2185.054448266974,292630
1188.7469196662946,998.4152221222066,3729.3309343572873,292664
1189.6002541359376,1001.3564137961994,3574.4936734137837,292697
963.822835677866,1157.4869884606753,2445.1394968928234,292730
1155.6302196653705,969.3792752103355,2472.60555477409,292764
1016.9329954531,1189.4627026170829,2757.161288417212,292797
1241.109584202781,1052.7128955514252,3167.84763178728,292830
1031.5173332130166,1185.238110431231,2434.443401225845,292864
1015.2221771456816,1151.859417581432,2848.901690011579,292897
1181.4115992862544,1044.3734694348375,2270.4870331422,292930
1046.8820951680789,1179.5863865084243,2240.9099954951384,292964
1070.130886682176,1233.7345743716514,1862.108295055564,292997
1069.0448910097005,1232.7501774487805,1902.0168048463063,293030
1128.475889860876,992.6550256760905,3012.932802163206,293064
1125.1382262849418,990.0085858213554,3116.377401900036,293097
1066.81152050714,1226.4387469417297,1817.5437705952384,293130
1068.4270255052847,1224.7983507500326,1812.9529359435226,293164
1224.1711481651575,1067.0648323056819,1853.7149251576411,293197
1068.5358238278889,1223.859877600373,1845.1545571639094,293230
1065.6055350285355,1224.5962599975553,1855.4749732387295,293264
1123.842128763565,992.9773411312062,2940.4956929428186,293297
1067.1224144123369,1220.863219201889,1852.4021270277524,293330
1048.4176455227228,1170.9871601184718,2022.0926690248968,293364
992.5754379391019,1124.6658760832875,2792.133739049389,293397
1067.1862268261816,1220.7268326697829,1766.0458179979264,293430
1123.8740882826557,993.8827898701134,2850.4269494634764,293464
1047.7579262767424,1170.3384053415082,1974.603547634447,293497
1144.633507216927,1027.1572440178136,2133.678918458104,293530
1170.1037202642965,1047.3954979613936,1996.3160395837822,293564
1048.2110153686876,1170.906978450625,1960.7394820979523,293597
1067.479923208803,1218.8510983709207,1835.690836902232,293630
1221.530597242656,1067.301613184459,1891.8131950812171,293664
1066.849855252379,1221.9504899954009,1887.1090783824316,293697
1123.1301950370323,993.0266864490601,2923.8519968623937,293730
1066.9215288649962,1222.2385200933572,1803.960995503408,293764
