center 0,score,MILLISEC
694.7680405672787,237268.03647297094,46066
679.5816077135848,212854.17179075262,46100
750.882187408798,320663.2739655121,46133
745.9302678253657,290573.0831610256,46166
753.5924380609316,293316.1515830952,46200
664.5634447201608,217578.6660369121,46233
619.7483426491095,214399.56321225333,46266
571.3050630835779,236248.19156173567,46300
561.2481834590359,227136.52418298004,46333
554.7740022200924,221739.8540797486,46366
544.3082777407504,208319.16544956484,46400
554.5990312082913,197950.4860113963,46433
581.3876706821369,200515.28114070394,46466
622.1521120730403,209166.22563353123,46500
603.1150676092075,202396.69141321717,46533
613.9723500759177,215558.23905654033,46566
599.7767977126073,224001.6976875149,46600
581.8229438804143,201476.53816480437,46633
605.6566889759467,203436.9750986933,46666
637.6164729772879,225477.3286260988,46700
676.7977059800951,193351.72232293815,46733
688.1327484221648,203986.70150133848,46766
647.7568995742755,209672.4276253503,46800
559.7795644220114,215433.64877931273,46833
532.8894045116097,212984.12065450018,46866
565.4790330580612,216556.0822193392,46900
551.5161101499366,220171.218340321,46933
526.1356439415738,226692.99845989965,46966
542.0362058163498,247636.27539373958,47000
536.5246290424176,222345.13195470575,47033
516.8326714466987,197187.79924907832,47066
549.8235823751439,203224.07588321107,47100
564.9591374151985,197627.4587653607,47133
582.8554483210539,212585.38350532044,47166
605.882236952855,209826.23875452834,47200
594.8320680145955,206139.76324243197,47233
548.5595300338266,197568.77534240068,47266
556.0884617068368,205536.67037557153,47300
572.4887385654011,189389.31088246242,47333
578.127200567334,192698.2256784634,47366
591.2571535687524,193171.64502044342,47400
687.2342283645651,219369.9248879704,47433
667.3609616260312,207929.1088023407,47466
681.3554989054159,201282.63649230436,47500
669.7608352509405,200619.13784967666,47533
667.6950522800175,190129.1743036418,47566
631.5546373197978,197935.54960366813,47600
592.7442534607004,209831.67856074555,47633
551.1354940255532,221675.8100823523,47666
549.8072056063819,213814.9414252065,47700
540.0552747974203,208385.1096872922,47733
554.5405862833685,207530.1667359265,47766
573.6995593009058,210579.72041985113,47800
586.330649075916,199466.70328754853,47833
588.4395168182621,196057.64933240452,47866
585.0550778810472,194574.12727417328,47900
548.3262112115024,209272.0803841532,47933
516.4019230143479,208260.1967642264,47966
532.5275591726329,207266.92253116178,48000
535.1043914528602,249612.09977167353,48033
527.5322419285708,255244.5432496253,48066
532.6979301365142,228650.48665684488,48100
553.2761411666354,208121.46399670985,48133
537.7841805344177,209650.07992882957,48166
515.8707525027129,220279.03337895143,48200
520.0002889876129,242929.36611946573,48233
519.5075453187421,234883.57702356187,48266
526.0713949204068,217671.6493512593,48300
515.9851469624348,210808.32811415466,48333
533.3841367421978,215872.55314797087,48366
520.8082832194783,205618.06546331313,48400
535.2076454350905,238728.91912496934,48433
535.2588645915789,227319.56692375286,48466
556.3038391157296,219990.18144224328,48500
561.9770959462493,214214.26744134395,48533
555.5112819498963,209552.40610257327,48566
533.9030317210041,220055.8860524538,48600
527.159886030785,222669.59741715254,48633
521.8856756468308,223579.1510784605,48666
511.474514620476,243032.77327470086,48700
511.2864138563542,243710.7744344803,48733
505.00190500065304,229564.64737428282,48766
521.8068207600032,237037.02276071865,48800
504.43587784001926,222953.15943348347,48833
504.08464375033935,223969.29098271247,48866
511.5086613724113,227991.5560076705,48900
511.39876018642855,238427.0699845456,48933
536.842346491616,254851.24739432806,48966
522.0082173304925,234215.23056325098,49000
525.6743800026603,230007.25573262817,49033
535.780059843047,221381.34652220007,49066
502.8160562505711,208564.48976709874,49100
482.0921863143834,210744.981037475,49133
492.48264078164937,226141.61043349482,49166
524.377836906407,271638.9793994528,49200
530.4365300635488,247420.32566938005,49233
520.4673175310394,232778.29519156815,49266
511.53461192830713,234599.29318030874,49300
500.7477040412971,240859.45118308382,49333
514.1037524133584,258297.8079449805,49366
519.1447335324261,243113.03135983198,49400
496.8084202762338,227792.86973310923,49433
497.8995020524174,227322.1810940501,49466
485.78004713384587,224841.60294949566,49500
498.7140088762454,221480.00401725096,49533
525.0846866344455,219254.738528673,49566
522.824597832003,226955.5351398997,49600
526.7032044964674,231446.16294458113,49633
505.03255689917603,236260.92599569005,49666
504.6523406876508,242057.63408609436,49700
514.1743609069873,243277.1075382722,49733
519.4101343351695,237022.87425468303,49766
505.0172708659384,232857.5561271193,49800
501.7867128173126,233435.23769713877,49833
505.2030625429407,237972.48464485258,49866
513.9880740642974,238682.97400538868,49900
501.4995286132481,241139.5561340233,49933
489.94325602868986,227025.79634819605,49966
488.9866126041134,237003.18793204986,50000
502.6481480300729,252843.69642479514,50033
506.7282406137457,250082.58540259325,50066
499.79607246129444,235567.6954760741,50099
501.7035610393986,235433.1082689579,50133
500.3436190701529,244169.11999863895,50166
502.5066433755111,241032.6447920485,50199
498.0436738598048,239639.45130918073,50233
499.2680813176953,241766.5258344901,50266
495.61037760658195,241249.82979913743,50299
499.5220799014706,238255.59645281354,50333
492.79236608235294,239582.35059762295,50366
498.2343385248588,236669.4962956489,50399
499.3389955135011,239108.9961309962,50433
504.3116475544307,241318.2383314119,50466
502.78701957688793,244460.0700878473,50499
502.3942792119969,242278.94059601045,50533
505.613322799779,240292.73923593792,50566
498.66805311558346,239067.36327810408,50599
499.16095098800986,237946.67834207905,50633
498.66415200858734,238217.2063586994,50666
499.9433189048994,239972.82073949682,50699
505.448573370585,237704.1206300213,50733
500.7595142181147,240854.00415813315,50766
503.0245145005986,242313.33781143694,50799
500.11336434199654,237726.8132827199,50833
500.03823272143734,238671.57534063124,50866
505.138740851167,242019.042967488,50899
500.88784773955064,240686.07827255508,50933
504.5588456193828,244473.75225961691,50966
506.20557108248295,245495.72932886687,50999
498.91072044811,239546.42635528123,51033
504.7057861040086,237485.25994932515,51066
503.3992875731244,235958.7763184899,51099
503.72954028340575,236662.07405539247,51133
507.3938927011664,236756.1519352716,51166
506.4828428214593,236517.03468939778,51199
504.73475384772644,238633.44730589405,51233
498.84955118980514,235274.8395634442,51266
496.62000558483174,235222.90338625506,51299
497.860951314988,235756.6160128782,51333
496.2589623796325,241039.37559122388,51366
500.1894071838142,238342.89027443784,51399
495.39349185780503,237459.52632016892,51433
498.69028014434565,235617.43306098258,51466
499.9215430999294,238000.5936017283,51499
502.49305453717744,233195.15871332586,51533
504.43183814578083,235994.3778077259,51566
501.33541196390087,239807.70947289068,51599
499.510493201228,238860.07670567548,51633
499.6872067818692,241661.02871186673,51666
496.7268638437826,242652.51797401547,51699
499.54971814931577,236757.03147789152,51733
500.8010087139636,239442.8734806004,51766
499.11236107235743,241704.42245334803,51799
494.806996509695,242184.6552526738,51833
498.70858415150894,240854.74809359724,51866
498.19239593152844,240759.9080645746,51899
499.12691780470857,241869.41516086704,51933
498.6948323717681,238503.46416569408,51966
494.2108666284464,239809.5240682648,51999
495.89793531467825,245378.3329887343,52033
494.44523805813697,244082.6684663941,52066
498.9000607364712,244247.58654000252,52099
492.9576083296716,244392.84400893762,52133
496.6211232421379,245158.6504259078,52166
497.03663081692423,241244.01619758917,52199
499.8626888304322,243237.76850568672,52233
498.33538459876064,240385.7015996625,52266
497.773466900354,243662.52803095456,52299
496.00311428875114,243404.05347300298,52333
497.23985034402557,240753.1026584224,52366
496.7398782979824,241588.30283231518,52399
