center 0,score,MILLISEC
1054.9490829926842,-23550.16146447376,290430
1056.886219195871,-23570.5983692849,290464
1060.1740850749616,-25221.546677340157,290497
1061.8355083953363,-25628.765554087644,290530
1061.367400402286,-25839.20681646847,290564
1061.7690139440135,-24795.805141786073,290597
1064.5761730760412,-25981.858593853583,290630
1069.9484362265,-31692.719082337382,290664
1075.2172658690451,-35344.15588547633,290697
1079.2122851621039,-38459.217775949524,290730
1079.407722221129,-38017.846046970466,290764
1078.4538480946348,-34270.48764937238,290797
1079.6618773442449,-32414.153047504144,290830
1077.8821758916006,-29168.07447594309,290864
1077.6992144721726,-27645.0156303115,290897
1080.6167078334277,-29996.653756222266,290930
1084.8016685616396,-32136.699429412452,290964
1087.9022749438498,-34136.20085998252,290997
1090.2163595321936,-35231.44704185399,291030
1091.7900252184268,-36793.70416773373,291064
1091.6205845494108,-37637.49694001365,291097
1093.1700108998705,-38122.6363458855,291130
1092.1252429189763,-38211.268895835514,291164
1091.6197596703876,-37944.501485827,291197
1090.1950604435842,-39841.65092204927,291230
1086.940255299993,-41280.40704192986,291264
1085.487702652526,-43828.23695070641,291297
1083.316855555863,-46382.95234278835,291330
1081.8025257927034,-49396.47594263656,291364
1080.7718102142476,-50867.47123109258,291397
1078.699050885747,-52767.78809094232,291430
1076.6187747091512,-54614.069718828665,291464
1076.5176009518073,-57451.27420482761,291497
1073.4204368908233,-58824.82832557077,291530
1071.8393908114701,-58992.60152448383,291564
1071.8497419737505,-58689.65315402367,291597
1071.2223314877601,-58527.582609637015,291630
1070.301223178147,-59349.458316812175,291664
1070.7022521268402,-57935.43645256116,291697
1071.304141838318,-57109.17840032515,291730
1072.814311968295,-56330.2601799696,291764
1073.8495117417033,-56310.130660526316,291797
1074.5094874539877,-54752.80685684407,291830
1074.718431274664,-52599.46739262745,291864
1076.3110419148852,-50704.70526047111,291897
1076.6594712508659,-48060.91482902988,291930
1077.9366805419127,-43178.56371141398,291964
1079.1833984544553,-37930.96250146109,291997
1079.529546910366,-33728.78673750035,292030
1078.4632432955848,-30592.164301841647,292064
1076.7237739419193,-29939.573141352823,292097
1071.8871543824716,-28158.641349236634,292130
1068.0168272122141,-27382.2839577768,292164
1063.508523809634,-27819.098921265584,292197
1061.7307048127261,-27792.552289359635,292230
1057.774431062317,-29413.26495395786,292264
1056.2861780076964,-30691.55074946489,292297
1057.355397580784,-32734.816033910563,292330
1056.1921717324942,-36547.48185498726,292364
1057.217927093443,-41398.27316121645,292397
1057.164759210038,-48604.35942191047,292430
1060.3844615365444,-54818.968659264,292464
1065.415222540729,-57525.01789244356,292497
1068.1048543085979,-61052.101012045256,292530
1071.4050568108257,-65138.02120095704,292564
1070.7459826284291,-70050.20342539933,292597
1071.6592551371064,-67026.20439491133,292630
1074.5479011398418,-62118.040779803545,292664
1076.6539499320947,-60395.36047809241,292697
1080.0213273475515,-57232.662372164086,292730
1081.1298418833567,-53990.32494634151,292764
1085.944878318693,-49505.60626699368,292797
1090.3922332816965,-44233.887994773104,292830
1093.0056441003023,-40528.309824415504,292864
1097.2045214071318,-36648.19101873432,292897
1099.1887213754044,-33887.774005519546,292930
1099.963811704217,-32337.064705647594,292964
1102.8516242200712,-30723.474775754123,292997
1101.7859482975164,-30949.620670712557,293030
1101.3117170239188,-29822.509729137586,293064
1098.1122981922244,-30189.90279495469,293097
1098.7369657940578,-29472.399988336037,293130
1099.7012905542344,-28626.357766756555,293164
1098.486095477577,-29014.49021213809,293197
1099.6006345823857,-28526.22213007359,293230
1097.4036800223396,-29499.81536713321,293264
1097.6691712370932,-28402.952578363987,293297
1097.8705753702473,-28170.9986810101,293330
1097.4454513610224,-28138.406435009492,293364
1098.2477884544503,-27918.97577454525,293397
1097.8943479949019,-27690.00320424571,293430
1097.8758286001473,-27770.3248777003,293464
1096.7901179026487,-27904.1863554692,293497
1097.6430019372817,-27229.201490563344,293530
