centers 0,score,MILLISEC
1115.8156231781309,-13161.475357998108,95232
1101.756236108984,-19179.980974824663,95266
1003.5397157261117,-1373.1948017746806,95299
944.902755350452,-4339.914655618954,95332
970.5783909124884,-5360.935468623715,95366
995.0410423023916,-1953.620668850738,95399
1018.4025369944201,-1705.3632166436537,95432
1039.5522219878314,-5822.888800810916,95466
1024.6945006290823,-521.9019025778832,95499
1022.6780226832777,-5138.30960310667,95532
999.5904527963993,-1269.6333914471552,95566
975.7780110021921,-2073.3662230293166,95599
995.3038571627801,-2535.1595844615126,95632
1008.4594202832437,-708.9882099198993,95666
1014.9311931842174,-700.3655083038043,95699
1010.2527949485647,-634.4514930671319,95732
976.865501218081,-1500.9626497368413,95766
962.9435081413135,-1073.0006425003082,95799
979.8306592451935,-3274.396015647709,95832
979.9024715682839,-7189.731071843267,95866
1008.1259526421566,-2909.3180467213306,95899
1030.3221624455923,-1116.2078671924432,95932
1026.4176522578243,-3164.0156676806787,95966
1014.2897053944948,-3323.9676537446785,95999
1022.5802870837115,-4205.782338970866,96032
1044.732275892013,-4302.358547474047,96066
1057.019514107584,-1902.733978834934,96099
1049.6574470945263,-2120.2187950075927,96132
1023.2517529232019,-3678.250697972212,96166
1015.8423139774918,-14281.965664274227,96199
991.8370608541602,-11943.223580904822,96232
957.8762604525679,-14481.348307021357,96266
959.8678939877974,-3277.1304571528735,96299
955.1371512556433,-1507.1114562718858,96332
965.9795573167243,-1507.474230927066,96366
1020.1628873954685,-4873.41590470416,96399
1170.5152457773368,-7962.297014103162,96432
1247.2404011698352,-4083.908448543128,96466
1081.940278123891,-13728.17286598804,96499
946.049036375804,-1798.103862062735,96532
923.1358819947544,-6960.716868834073,96566
911.6256733616433,-9641.158339652282,96599
909.1903717285618,-12494.339780398717,96632
956.0008014666928,-13158.337975204915,96666
1025.229765448013,-19733.640197060897,96699
1032.9832993857653,-8224.51595049091,96732
1046.0376809340082,-11120.850331010739,96766
1049.5664411634334,-6577.427917626415,96799
1018.0770520262948,-5160.580687244864,96832
967.9705844506059,-1256.738191762413,96866
970.0611198550779,-1413.1187275609159,96899
954.2557637707389,-1578.6865516191406,96932
960.0244457192183,-5148.318107537651,96966
954.671077244279,-2618.6713662389648,96999
952.125559442141,-3056.5952849497444,97032
945.4576623394101,-2196.043618489114,97066
1001.9948491340323,-7831.611544339659,97099
1068.7857015569546,-8473.620737041818,97132
1137.0524465561004,-3286.6689039319313,97166
1277.3262114538172,-15158.74766518973,97199
1320.5624389823881,-10957.2237444304,97232
1154.8825033300886,-36721.0175101402,97266
981.6832615700654,-34517.86976579288,97299
844.7976887995193,-32117.324994953167,97332
829.9472440187586,-12288.860728335423,97366
956.3296731952545,-12456.780831289005,97399
1046.2831790985908,-4691.5456767301275,97432
1112.89035458214,-5399.2933901933675,97466
1169.4100323876883,-9087.880755129,97499
1110.280576466202,-10475.207609389352,97532
993.7058257192306,-14826.659658310558,97566
947.2350985988203,-5133.339912416743,97599
905.1027288600427,-24614.25105052018,97632
933.164602931703,-1226.11917658546,97666
912.4853048448965,-5439.842210581607,97699
920.5673306731298,-8335.948486742216,97732
946.7143518368578,-6867.680130591229,97766
952.8397883425943,-10562.688756200268,97799
941.6236100027303,-7235.88542713023,97832
977.6781715313725,-2773.964555360696,97866
1023.691058933908,-4287.079293870374,97899
1061.1560353228826,-2636.343489104502,97932
1164.217988306406,-2044.378518925499,97966
1345.503238231206,-2695.179546693149,97999
1347.9721818995577,-35441.98412472782,98032
1156.1107604023139,-54645.54840991914,98066
1041.2029975376734,-54799.58959281896,98099
973.7756502305157,-84269.91509068248,98132
917.4846246888557,-55036.81729774769,98166
906.6797852294768,-29045.835281149222,98199
967.4247324020657,-19901.935683957658,98232
1069.2592727284903,-4417.038420700734,98266
1096.5405115328022,-13798.532836902341,98299
1092.2403500689995,-62352.08840574724,98332
1068.282469838759,-80771.8231760066,98366
1097.6048316428598,-175225.16777124713,98399
1097.435212401304,-71561.7729085252,98432
1056.3027509418282,-79398.4917636301,98466
1006.1499606834667,-25219.283083291855,98499
1025.9813875951324,-34378.96154183227,98532
975.8960229335505,-85531.76211239539,98566
1000.1522147703336,-84897.73644998322,98599
1072.8718880082133,-39103.559608457625,98632
1114.8137189947747,-13754.859705196679,98666
1104.4540723812488,-10852.01000237528,98699
1162.001725174838,-22667.95345350186,98732
1272.164231445376,-7648.841154979833,98766
1293.828424745776,-42466.03659931908,98799
1099.5734731260777,-98172.88598727422,98832
963.9023809312196,-76335.00017563079,98866
1059.3543359605371,-78515.95440804692,98899
1156.807317413414,-132412.1518939035,98932
1149.452573620035,-26384.90499138827,98966
1175.0739609832572,-51408.93109559132,98999
1133.4631303219471,-80171.66100386197,99032
1048.0823638349643,-73912.79309056664,99066
966.9454110790485,-82769.85996584855,99099
919.453972369552,-70653.96346925465,99132
943.0113438476349,-42184.02687338868,99166
1056.833593629951,-59481.776876017044,99199
1128.712721732893,-76345.95899162587,99232
1145.1904519592854,-88658.14370643784,99266
1155.9101199792794,-150336.97264743838,99299
1142.7812952298227,-186374.55636424336,99332
1190.8996528856724,-134846.0837839249,99366
1187.1580784264247,-150547.48413439415,99399
1137.0633172614282,-95319.06269218409,99432
1164.8965477091938,-54214.16567601022,99466
1133.1078947397918,-86092.49439178356,99499
1202.6912585231971,-69583.68335944184,99532
1200.516744745622,-24587.727926876563,99566
1147.2957049789966,-113152.82668373562,99599
1041.4279143190415,-139567.4963854553,99632
921.5827950909089,-74273.75896213888,99666
932.5376070742213,-59799.05696142596,99699
1034.662584252273,-52882.68374203883,99732
1080.5262340757415,-233900.28737047882,99766
1030.9844567770501,-135300.24942065464,99799
941.7273024616057,-15562.438991936939,99832
937.7722374987683,-9196.152882768583,99866
976.8631503143888,-7575.927789239238,99899
1079.3509517258892,-12351.615042086927,99932
1091.3301744508985,-33765.251664857504,99966
1112.49631013301,-68829.7997021892,99999
1169.0032853206528,-167741.5945476017,100032
1200.565187978272,-177191.1470734824,100066
1177.4371022626458,-142424.35107671877,100099
1139.3542701630258,-14992.235306393348,100132
1118.5229249568679,-77930.33172966508,100166
1219.3065497544517,-2927.688629474992,100199
1247.5978186330879,-33059.41470980348,100232
1090.5716907967496,-25566.936163593033,100266
1055.4159174285346,-49423.206192422294,100299
951.0616033099537,-3963.1335475005076,100332
909.1518613025672,-16875.4654503881,100366
1001.0774645757624,-8515.5495928158,100399
957.1031631838002,-3342.675117819942,100432
981.0225823486712,-13370.46460972316,100466
989.0372076501232,-8764.009418236416,100499
1040.1951469241653,-12276.28157707163,100532
1036.3497920145307,-19962.54295719358,100566
1015.3869730256631,-33085.47504890631,100599
1040.7553967649744,-178399.02052290284,100632
1101.7453606768227,-474959.8011354896,100666
954.6849421300269,-27390.306350935854,100699
974.3175367412514,-5970.6879923017605,100732
991.3985776285703,-17904.301380238587,100766
1067.1479706820182,-33297.04334625075,100799
1104.4914024497714,-34777.70957268459,100832
1027.4100948824844,-14396.484667822308,100866
1116.953138467971,-1794.4323327479715,100899
1150.4593869228866,-1520.99520507934,100932
1065.5263699582865,-5902.774617584746,100966
998.753427252508,-8430.957756846146,100999
909.4795400805082,-8862.830874736479,101032
943.8388680509062,-1331.9557819211957,101066
974.8833106959496,-8973.652632523179,101099
999.6333481869789,-6609.845962450914,101132
961.2911630059855,-4858.4996329988935,101166
1003.3944617946518,-5710.770199105401,101199
1025.1174278797132,-3055.295286404043,101232
1027.1802276369822,-5215.899758186098,101266
1020.234828292237,-12168.475697548029,101299
1065.6473653158307,-17173.46397714306,101332
1060.9955095222845,-21061.643867738723,101366
1036.8535015090747,-5587.082041855418,101399
1018.6145740263926,-20305.747905154767,101432
1014.2498780007458,-20597.9248773619,101466
981.7726088155081,-13958.722897956712,101499
965.8855358752819,-12531.657934597346,101532
951.6488101950371,-14261.710271851458,101566
949.0601391308609,-12591.261564555058,101599
994.2558155409357,-21388.866315143416,101632
1004.8669644727589,-4904.918556515355,101666
957.8465882403657,-3416.5669814569524,101699
1020.7670889847521,-2605.7502279756127,101732
1062.5438647936787,-3880.676946563481,101766
1051.671874447508,-14858.342480325375,101799
1017.1964433982693,-21156.977689558065,101832
948.0272159771123,-8140.988833428567,101866
969.9870110689217,-21263.991787897823,101899
934.6032468174594,-3428.855191315454,101932
944.7755573386212,-9774.731277488987,101966
924.1274427594484,-4024.34769441201,101999
904.0954194735378,-38313.36243483799,229431
940.9482380488937,-24731.066563412405,229464
976.9467082302206,-53569.646390682006,229498
924.41208389566,-48106.49573841574,229531
891.187774609328,-48428.75193436759,229564
981.7524239288716,-35998.890548924974,229598
1050.4855271223294,-36467.78653260828,229631
1086.4938209503432,-17627.88518361769,229664
1106.7368516030863,-24233.706518441162,229698
1112.5944754431073,-31105.66606738446,229731
1042.2663607532425,-24979.166210958363,229764
1014.0901654440295,-41164.68174850459,229798
1023.8017589023734,-44085.79234203191,229831
986.2202609840532,-31968.98412272961,229864
949.8748578808154,-33775.77182950428,229898
964.809974461401,-57942.565898954475,229931
1076.1786345836235,-54690.73232863784,229964
1082.0136700716946,-62889.08888990947,229998
1083.7441485710394,-86364.10219016421,230031
1028.9318728632386,-13891.00503074174,230064
1023.8677685759553,-7462.962356470698,230098
1059.7279243256708,-12491.6320220264,230131
1028.527930721681,-2522.478626883748,230164
1047.0683078492395,-3081.793488650353,230198
1048.2518549471076,-2487.242999739264,230231
1045.781164835207,-4952.776379588618,230264
1042.8002859829585,-8341.81776929994,230298
988.7981634408083,-3458.9598804230936,230331
1008.877932444458,-5040.587132978067,230364
1039.4538393532127,-8367.579269326918,230398
1039.1164530404183,-13254.985103501436,230431
978.8328787284623,-12185.977600757344,230464
940.3769490809237,-2167.968186269032,230498
908.0543579326875,-10789.415197273578,230531
863.1443334662634,-5379.298025399469,230564
900.6383131413451,-14411.144509562671,230598
1239.8055008119445,-28639.600782215988,230631
1442.8166263113037,-56862.91419833934,230664
1312.0130675151192,-116804.5533478368,230698
1185.8695181129615,-204626.43005266384,230731
