center 0,score,MILLISEC
994.1786369309453,-966772.1893506376,75699
759.9455447129766,-163926.84535448666,75733
846.8818337182141,-313632.79859037575,75766
988.1636978999671,-299659.53076331224,75799
1071.8767073749636,-36108.62093503213,75833
1132.7381635191634,-297161.264536165,75866
889.3509437718052,-317785.49406099704,75899
1008.9628565925021,-117280.77008349044,75933
984.5647714587026,-311316.05401236366,75966
1052.3485274590232,-331526.8837741275,75999
1093.0374216628843,-176153.97422277028,76033
1369.2291125340078,-891402.186946667,76066
1603.1588582586621,-2069219.3759339144,76099
1997.1822593414524,-5941651.11485886,76133
2398.4381105402827,-13079507.149539797,76166
2633.359899230429,-13092115.20562552,76199
3135.7157245373464,-24121574.474446118,76233
3445.4420596537834,-36990365.06784347,76266
3536.7650216264306,-31285226.90899897,76299
3103.844860447871,-15560191.411356693,76333
2511.132564552637,-7665015.216216476,76366
2489.875320281539,-7721336.44726451,76399
2759.495587901204,-8578856.501768937,76433
2703.6770045970884,-9964396.27406458,76466
2758.6002654105896,-8383625.878383122,76499
2730.7982248258113,-10394564.27644099,76533
2807.830791641281,-7344707.227555486,76566
2722.080578874544,-5226896.610570146,76599
2808.897684176628,-2684237.999135887,76633
2535.3761665302436,-1467126.4709520268,76666
2022.5408076672845,-1390882.4066028444,76699
1907.4081422189972,-2476704.8949833703,76733
2013.1493529299294,-2668789.413989034,76766
1688.544443401038,-850563.3132973936,76799
1508.6750254853937,-521397.33738323406,76833
1670.2940000860804,-788992.7663822036,76866
1518.3528388602545,-904390.2836250291,76899
1193.2855734581153,-464732.70088368526,76933
997.8690984524217,-350590.31176875567,76966
948.3039719500558,-74943.88391873843,76999
857.331225243136,-65012.8511155153,77033
773.4399023860456,-438389.5869853221,77066
732.1423267055266,-284165.06723109033,77099
573.6337116745148,-209178.82415259813,77133
583.9283805095665,-389024.23217737407,77166
586.387685702615,-521776.41028165584,77199
586.5081708990689,-254814.82734314317,77233
565.1486665309606,-58996.92359138586,77266
610.12817687597,-464598.03891002573,77299
724.8014583261971,-526113.230041089,77333
884.9073435728343,-1215536.9664543495,77366
844.0811430709927,-1091016.1195598322,77399
838.6546346775892,-507342.0186689964,77433
885.1286047361806,-782676.7653889109,77466
928.7781020894214,-1351291.1853958617,77499
1102.7162654492329,-1442360.1895684842,77533
1004.8060721439061,-863307.7869136764,77566
870.6418106143656,-697614.1880506955,77599
1191.9062237115008,-1928050.7693889476,77633
1148.378293913423,-3258766.4703424796,77666
992.250070726211,-1574119.9857191471,77699
747.9270157794576,-1234732.8953361742,77733
911.2936756274499,-1061966.18380706,77766
981.4273140786615,-3392726.13590172,77799
914.8874783390056,-2026021.5098924774,77833
729.7891736575086,-1104533.8100614538,77866
1091.7378984035036,-1504540.8059475068,77899
868.9296587005143,-1271615.241153038,77933
760.9102862380705,-1125269.6814854874,77966
558.0121716340335,-579103.0815413495,77999
532.8342872775462,-601478.1115071467,78033
387.1820245214415,-134028.39943738925,78066
324.6323230697358,-173406.27409173342,78099
478.91379317741803,-291339.8935220864,78133
630.5680412098304,-1023212.7270239881,78166
433.305035023777,-244348.73311521695,78199
409.7387684190976,-250290.70827200566,78233
291.01632661269286,-277398.48822427227,78266
244.3620928947119,-36645.83778058094,78299
300.1851267194322,-64941.448482192165,78333
237.77115427794988,-43790.39096665679,78366
269.242191197264,-55058.212396479714,78399
219.45483110816488,-118225.88551643417,78433
236.9119183126608,-156980.71480707577,78466
188.04157330230848,-197416.83354996273,78499
195.75336464886163,-120033.10114324905,78533
218.95509232772935,-14686.337718777559,78566
366.2994906347077,-252319.41580376838,78599
337.21724854404096,-247617.6364219326,78633
283.37014328568443,-78856.80947125342,78666
174.8340952786669,-14618.19564045011,78699
144.1849400410727,-16589.515326761353,78733
256.8287370559342,-79065.99911126912,78766
467.27662178250625,-238001.79367764297,78799
441.10277445197676,-239616.71185384254,78833
413.3845141058047,-929272.2174875383,78866
446.49220970412114,-1157558.5333676555,78899
386.3528792152381,-898951.263610478,78933
361.73307081632737,-564234.9273889494,78966
311.28164717656875,-280883.6806552108,78999
349.5553398791878,-469750.32180972747,79033
483.88710204175874,-1233101.362388143,79066
692.758019206152,-3065252.634127844,79099
1017.3100359888109,-2263240.4533822215,79133
739.6219369438513,-1810021.951957129,79166
268.7483600911703,-65681.5947415333,79199
362.9103611465869,-270625.34886226925,79233
334.23127368053986,-344692.2784694204,79266
225.8688312664406,-247209.35531166097,79299
204.20135456882338,-47971.03396128834,79333
255.23548091986055,-156863.2463980375,79366
290.97172924773304,-683034.2638929196,79399
356.7918606133022,-641027.8410004894,79433
336.54722723611536,-334407.81919841265,79466
220.45737272161435,-225880.73406341614,79499
281.38368130115,-236512.11948706434,79533
121.01774138040533,-33504.53135592665,79566
65.88622985121287,-10622.023579965722,79599
79.45531244117399,-17575.266624377113,79633
53.00904740864262,-1302.2044641413945,79666
67.01621721917724,-15973.133148160268,79699
60.785483957092445,-3639.6247005102855,79733
75.53202593342226,-7803.565291964133,79766
62.73226012312324,-4641.31769922401,79799
51.796527787561615,-976.5985457617871,79833
72.33939942016951,-3817.056457645898,79866
68.34737731893294,-7912.180068117055,79899
72.4772237140184,-6671.260213540647,79933
39.43398655402566,-6254.8035222846165,79966
65.73787556420086,-6806.658581528215,79999
72.90653165639083,-2639.1882091784128,80033
63.18744855162386,-2792.731727679436,80066
42.82678642070084,-2210.3318243783683,80099
42.65307348793456,-2316.5766101642675,80133
40.75265051734171,-6391.1073790570435,80166
50.49598673410507,-2842.7766187454276,80199
54.905764394352,-3501.7851813595403,80233
50.252513701889505,-781.4243332070392,80266
43.796388023363356,-1632.3819805349747,80299
38.78868221141658,-2477.190661508675,80333
51.50734208114991,-1949.9685586770195,80366
59.12685339160104,-3700.076040040585,80399
49.14530259087885,-4604.696166254783,80433
30.485680068429524,-3060.1165538267933,80466
39.48139907933938,-2309.0956336896975,80499
49.09656824843578,-3396.63493113344,80533
53.69692279302482,-4908.202412799658,80566
42.303538062817495,-3075.053336838755,80599
46.84658315386589,-2605.98823403964,80633
27.652755660341466,-1766.6255219472653,80666
43.008617117821586,-5124.294268063119,80699
47.751140928949724,-2546.1426999179107,80733
55.21412169096467,-353.00382947672506,80766
47.0717967291957,-2882.2297634264055,80799
29.37615080833181,-791.2088184307318,80833
42.444246189259204,-1216.4298271277794,80866
43.654466655894986,-2286.4377049467644,80899
49.262368398704744,-2885.0952987514816,80933
38.52744913445491,-458.1783159599474,80966
44.400599688601766,-795.9337364626849,80999
56.315334507619454,-3872.9154964746276,81033
52.52970008938236,-2494.153042597714,81066
58.57683307202445,-4281.773136260912,81099
53.385705946113355,-836.8320031755844,81133
52.23745858660904,-740.2396020615278,81166
63.06284776857443,-3215.386156588037,81199
52.6492432391902,-3865.2859317029233,81233
52.37141842591207,-1921.172660290189,81266
47.13883674121336,-1573.6503534261678,81299
