centers 0,score,MILLISEC
741.0052966174885,-23404.751924139746,94832
742.7387433524381,-22895.795616205236,94866
741.8402625041042,-23685.124639208843,94899
742.1997197685121,-23557.87987771096,94932
744.0088674758517,-23050.02558650289,94966
744.0976691978206,-23282.293471854286,94999
744.6563996896562,-23784.23200619541,95032
746.0157327218498,-23477.63265740833,95066
746.4701509525386,-23849.56868447187,95099
747.9679464313882,-23488.755556059783,95132
749.8472988259651,-23536.142217018572,95166
751.4370062540609,-24581.12815967222,95199
753.5354714749227,-24345.46614532963,95232
754.5920342482449,-25179.309245478093,95266
757.7229882020365,-25208.365750882276,95299
759.5382442863418,-24861.27733210694,95332
761.4370356172872,-25692.203951791067,95366
762.6223028506744,-25131.115973671636,95399
762.5679409357411,-24106.677285119535,95432
762.9317050382352,-23837.06723725645,95466
761.5844787890487,-22729.408338064804,95499
762.2189943460254,-22326.023290668723,95532
760.555105187832,-21340.65986362814,95566
758.7848629717564,-20340.65862466423,95599
758.11541500755,-19054.087639650774,95632
756.8609207151683,-18348.73347093873,95666
756.0553207067748,-18045.760154879816,95699
755.8716268722407,-16771.41844756128,95732
755.6431854203034,-15380.88163928481,95766
753.7370541768153,-15092.265804283372,95799
754.714253918498,-15235.974661224333,95832
754.4681623052297,-15309.960338848086,95866
754.4139076056723,-15322.28005570047,95899
754.7915249873267,-15059.769036528764,95932
755.8358218163614,-15150.052295927908,95966
756.2673222515986,-15247.686471983656,95999
757.4053747913457,-15111.491185905972,96032
760.0105293186225,-15224.976624135976,96066
761.2746439784082,-15825.582177738801,96099
762.0647477806841,-16326.600949811527,96132
764.4420038837928,-17257.11349065657,96166
766.012119651818,-17242.16273264423,96199
767.8132334357404,-18389.192804766466,96232
768.8048228336594,-18141.72193852778,96266
771.6627131544785,-18743.285635344757,96299
773.6044012873482,-19194.151544217315,96332
775.3316371279252,-19800.262342656133,96366
774.88245598375,-20077.89704295894,96399
773.7400027722352,-21602.040550107275,96432
771.0492526381101,-21255.250031058684,96466
769.6422234874738,-20792.23912628743,96499
768.9296681376347,-19374.827288734057,96532
767.1906216983567,-17588.749890444524,96566
765.7042058931609,-16946.34538761981,96599
765.3285463439657,-16111.080755161489,96632
764.855484789866,-16489.43693429555,96666
764.2033993491038,-16608.822116370644,96699
763.8683924583817,-16195.395015239177,96732
763.2619610024869,-15316.894433190755,96766
762.6026575205409,-14890.933713043252,96799
762.5788618451511,-15413.397334769748,96832
762.431696066069,-15764.54416908679,96866
762.1514220822982,-15840.049089653176,96899
763.4665445736958,-16320.176583504734,96932
762.9726310887319,-17002.82104768953,96966
764.2834021262607,-16835.406171541912,96999
765.0639319418241,-17787.90020857998,97032
765.2787362912095,-18239.27890264728,97066
765.7996194738912,-19003.714068217214,97099
767.0862643392568,-19711.315310219397,97132
768.0437670572894,-19815.85942224064,97166
768.3167018840975,-20500.228029714104,97199
769.3636612766104,-20706.7835352453,97232
769.5346608039746,-20373.02910655907,97266
769.3678323233736,-20952.692930166977,97299
768.802566328567,-20833.07003304696,97332
768.747272445657,-21572.155536813694,97366
766.7010655808225,-21361.380186156548,97399
765.0894269433061,-21212.843897817987,97432
764.3346217635195,-20288.929868087827,97466
766.9940255129832,-4514.824136946279,176598
767.462650109058,-4816.403437907715,176632
769.0649898920009,-5268.206612082994,176665
770.2997639240938,-5790.368492426915,176698
771.6016144861491,-6438.742611841128,176732
773.9109645173833,-6927.0949988683315,176765
774.8922664976924,-7263.876610346414,176798
776.585745306755,-7540.900931758928,176832
777.4102778861666,-8097.299184766129,176865
778.2350680062887,-8531.894626236328,176898
778.0922256721253,-8913.441742991568,176932
778.4740928494912,-9204.433810809323,176965
777.9058169392954,-9271.699860037501,176998
778.4922693185429,-9482.933056326638,177032
778.8692337342463,-9640.583711139669,177065
778.8006629372271,-9882.637042677425,177098
779.6838943768436,-10175.124246795194,177132
779.7591192615623,-10873.579642163013,177165
779.4101431573088,-11084.143717517367,177198
779.47721230083,-10946.377518633748,177232
780.2250643704397,-10815.244640716599,177265
779.3747616442208,-11346.904560069466,177298
780.1886886249958,-11785.050708046434,177332
779.7934104942974,-11944.184748360502,177365
780.0241774838871,-12331.412702926835,177398
779.9989521474387,-13160.173244488305,177432
780.8680396430537,-13416.523320071497,177465
780.171446976682,-13894.566611551898,177498
781.106483935841,-13741.303766939463,177532
781.1244021493836,-14299.341833840215,177565
780.5289319585473,-14783.93187824723,177598
781.4349275473263,-14740.270045524047,177632
782.8132609230447,-15539.992615145482,177665
784.242760483387,-16015.463146984404,177698
785.4026392945506,-16887.470945770256,177732
786.6440463277736,-17093.72188533793,177765
787.4349896758267,-17961.68517115286,177798
789.0670501654273,-18565.95171615522,177832
789.2994304282272,-20328.045628380765,177865
790.7160002759393,-21328.03453810323,177898
789.8941101408955,-21801.473823614782,177932
791.1345657082524,-22910.494708074715,177965
790.8234763715907,-23536.14609776068,177998
791.0645021235009,-23751.76740048804,178032
788.9960457294276,-23516.199116635147,178065
788.3848193974488,-24630.88271826001,178098
788.7830835445003,-23883.235570149223,178132
787.6736668533044,-23433.9727293481,178165
786.4534191580796,-23196.097472829682,178198
786.1690661468838,-23395.997168683,178232
786.2215647763663,-23191.25540301013,178265
786.6760839712309,-22703.694538444277,178298
787.1183485512713,-23242.526869597055,178332
788.6651452621868,-23885.44324286882,178365
790.1550781584953,-23610.762301710845,178398
792.3610667788021,-24345.699265794352,178432
795.1049666943661,-24769.459689754527,178465
797.7580529453741,-25874.444804028855,178498
800.2184092501927,-27164.487485455153,178532
803.3528916953926,-27533.65702325389,178565
806.4784960700945,-28418.17688259298,178598
809.8809338955308,-29647.36456251391,178632
808.4162154799255,-29768.112745572867,178665
808.5443816909192,-29668.914180245796,178698
809.2904120252258,-29202.14502020088,178732
811.313865656497,-28976.05696755778,178765
812.023843423218,-28000.38856092644,178798
812.1955528738447,-27120.91945974902,178832
812.2895333290223,-26347.57022059531,178865
812.7937465164849,-25519.628118480272,178898
815.1175758012155,-24892.688099748346,178932
815.8565744471056,-25480.24965717236,178965
816.8449064509684,-25141.994025543347,178998
817.8341166544051,-24977.788180544645,179032
820.9431742469254,-25774.523286911164,179065
823.3876717221439,-27020.710279935145,179098
827.1044518674626,-28050.128505121513,179132
830.0483283052108,-29389.863388624755,179165
834.0673912375258,-30214.934371139694,179198
837.8929783564627,-32014.784104681923,179232
841.3456388680645,-32219.57978844216,179265
844.3516244658181,-32688.671309670215,179298
850.133636727986,-34469.99851824393,179332
854.5651675180374,-35645.87232434365,179365
857.6166328744098,-36925.55508579871,179398
860.0909645609672,-36422.663402925566,179432
863.0685458279415,-36893.42601221215,179465
868.5271318404033,-37327.10628541399,179498
872.4433434272445,-38368.06254745546,179532
874.9803899404943,-38263.5860979024,179565
876.5727452588566,-37086.111346758335,179598
878.9128866197908,-38229.68866833351,179632
799.0297974436512,-17663.91398578904,191431
796.7893637957516,-17550.548709806855,191465
797.3236207926834,-17885.218630226216,191498
795.7931051962523,-17793.668610532903,191531
795.4221158948305,-17848.28772695415,191565
794.0767825391778,-16914.31716113721,191598
794.0700702342045,-17404.617791227603,191631
794.3122364226383,-17221.355346333676,191665
793.8693908291644,-17800.95152265658,191698
794.4069894092763,-17774.675888449747,191731
794.0902578524457,-18301.311919181426,191765
795.121423627946,-18265.608439342504,191798
793.931183982637,-18665.37549964107,191831
794.3266374678349,-17960.965045214456,191865
792.5554977267304,-17937.915115672884,191898
792.1048641253835,-19001.421144538734,191931
789.6605315458653,-18821.22459350751,191965
788.6077976667244,-17846.707296193283,191998
786.78719960647,-17540.512677043334,192031
785.363441855756,-17954.320982403056,192065
783.7208489368401,-19458.154708593065,192098
783.3805708859094,-19872.405792333244,192131
782.7546282511613,-19221.959756931537,192165
780.509783510539,-19422.38922165703,192198
780.0072478214919,-19459.466729709067,192231
779.198714883294,-19496.81362111613,192265
777.6391316949569,-19035.904283567434,192298
778.1918745093183,-19962.03223836737,192331
777.6582428900861,-19919.286325519744,192365
777.6058217545072,-20223.929867487306,192398
776.7585514705604,-18980.763586783574,192431
776.198497452666,-18866.46276111858,192465
778.0563775894137,-20794.366462198195,192498
778.351371906355,-20696.70925747547,192531
777.9511488256774,-21635.05020404397,192565
