center 0,score,MILLISEC
1041.5908952436416,-381397.51112878724,47533
1017.4410557827918,-95774.1681215677,47566
1031.181839206395,-170360.23185466818,47600
1017.3089062540432,-56208.42809923679,47633
1002.4539572857257,-10505.01635501608,47666
979.1715180937105,-127613.21046493444,47700
982.7309169681648,-76394.1173585596,47733
975.0181724282777,-199499.01495394096,47766
1013.5993253170624,-116934.52346873572,47800
1055.5459252402816,-299265.79533820576,47833
1023.735429122231,-170102.33855874164,47866
990.0440963052072,-21168.997939290843,47900
1008.3728655510382,-81291.62432620293,47933
1012.3886356321098,-55973.0070872844,47966
985.7615738464656,-21793.912443827663,48000
994.4381153178845,-37430.35684822144,48033
1003.1120538850689,-80890.31760765592,48066
1000.9457840381591,-23416.598659759038,48100
968.8334573276063,-59131.71140219641,48133
981.052665577168,-30206.677822935224,48166
980.4167703843946,-80492.30158453465,48200
991.201047167079,-31253.745518177304,48233
1002.7922617647469,-32610.875915893077,48266
1037.3634459561742,-192433.29590290118,48300
1022.5154190861467,-150252.48369730674,48333
1029.7402006687341,-97290.90602744123,48366
1039.1947729215176,-103526.58292152631,48400
1035.238749605985,-183677.70102778194,48433
1029.4151515399772,-157684.1324788139,48466
1047.210028954298,-260800.4841206115,48500
1002.9515021844796,-63631.548254332985,49366
1004.9002084013368,-22979.13847919667,49400
992.7739977994918,-30380.628691432797,49433
998.3961218174369,-37270.94303842542,49466
1005.7763211651594,-58003.86853565081,49500
1029.8436758926866,-77670.05158142741,49533
1027.4049637704688,-89175.64671682587,49566
1026.9784592446663,-60036.907959222284,49600
1029.2509607167462,-51952.35781847615,49633
1025.1500867718478,-68429.79346676636,49666
1010.0165447848589,-40670.26817368218,49700
984.6937591388058,-24289.211409399675,51199
992.3075611272454,-9905.266075169477,51233
1007.859320488917,-20191.441657896547,51266
1004.994231314023,-23747.520408577213,51299
1011.3477340317676,-12602.17390094805,51333
1005.7236354594619,-27196.505251254566,51366
1006.1214835478166,-13664.965496648714,51399
1009.6421390851372,-10834.015737415122,51433
1015.0949612683496,-30009.513721726336,51466
1006.1555685407942,-16525.550309621085,51499
1006.6803464730493,-15925.880398421483,51533
1012.5535917391305,-27700.58169897994,51566
1000.645449134825,-10901.962012230848,51599
987.772479399974,-45837.463040448085,51633
1004.0051899782721,-34183.25594709853,51666
1002.8531981256822,-75089.40814546031,51699
998.6885354198678,-99843.34753471111,51733
1004.5374426628683,-99717.42061351148,51766
1019.7903680444964,-16401.683898728046,51799
1030.9261673760243,-104248.79871010267,51833
1013.2797441494758,-45244.56154196494,51866
995.9283650566182,-46630.06681042423,51899
1021.8464388317857,-72999.687148763,51933
1035.985169278362,-181757.6645645369,51966
1010.082884372646,-229077.0671589725,51999
1010.5588054791513,-12403.410696816682,52033
1023.1699983696641,-84096.47097954352,52066
994.2414929392057,-36548.65948830698,52099
984.6392546171166,-102670.61227278388,52133
1008.849359419256,-17273.519989710316,52166
995.6286380204668,-22195.84245616548,52199
995.8239384864072,-38753.93659872461,52233
1007.9019045946095,-39886.01143294081,52266
1011.4897759104912,-16016.931656709825,52299
1006.0864871462154,-19093.68610861058,52333
1007.5600631130288,-10366.507514709514,52366
1002.4437488080185,-19733.487611618428,52399
1002.466457419419,-10923.027983362907,52433
999.8669799003957,-12817.360077786892,52466
994.9732400960448,-18622.023884452727,52499
998.8496329116384,-17523.57331656162,52533
1002.4022372349435,-23044.07658207952,52566
1005.9978691041094,-7368.59772785598,52599
1012.49852901539,-8185.659866743778,52633
1004.1411523428237,-28730.73874601933,52666
1003.2947136894621,-12007.479724481873,52699
1007.2060210864756,-11370.497394400494,52733
1001.4645467957008,-15016.184180504173,52766
1005.4799464999737,-11919.234982558139,52799
1011.3853841569278,-10336.675419897803,52833
1006.1375692904401,-18603.066597197292,52866
1007.457244977975,-13206.392662212073,52899
1007.9650699034233,-16095.685673391714,52933
1005.6008337446508,-13173.410753010015,52966
994.4542664633028,-17926.39060694785,52999
996.0182976433571,-19201.81215406448,53033
1001.0723871225326,-11256.211852708218,53066
997.2952882944355,-9420.727131498039,53099
1000.2908174715063,-12890.487714967972,53133
1000.48181788703,-12672.113239416507,53166
1001.4656830433731,-11497.770983521328,53199
1006.2083325041585,-15142.665587212261,53233
997.8618692721651,-11745.037642569134,53266
1006.8192593679914,-9286.663451027016,53299
1001.9811937477085,-11003.998014672314,53333
999.108559267197,-23352.388784412557,53366
999.3363869545346,-16863.571338503894,53399
1008.9878266974233,-30469.049222568945,53433
1011.7368832350717,-25169.665628525432,53466
996.0395067176362,-18005.81692300763,53499
1012.0093394576836,-18049.54960676485,53533
1007.2703341012956,-13701.58463143094,53566
1001.9010830160717,-10844.517619561713,53599
993.3154893110938,-35579.41911459755,53633
1001.196265897841,-19101.59443551368,53666
986.1061263673975,-38282.3206509803,53699
1001.7198140206815,-11072.62717393936,53733
1000.7801223882831,-11688.346119891221,53766
998.9498833965039,-12629.087393780253,53799
1009.3481404213685,-20167.30284680691,53833
994.7973760225424,-33182.89053863243,53866
1028.8683184410697,-167471.73293192842,53899
1100.649522597009,-2003843.0545116167,53933
994.0685565661416,-25425.27754412488,53966
1029.8655985289906,-143182.5834643837,53999
1009.2897797404405,-15353.248183889373,54033
1017.1232640908263,-73211.25032357119,54066
1006.6641488982056,-22217.661168824572,54099
1008.8893926185409,-23998.09538866449,54133
1011.535457148701,-17114.302895496818,54166
1005.8673503286302,-11331.976685771437,54199
1007.7857066693924,-12865.510925972167,54233
1009.3255422636869,-16238.19574583022,54266
1008.4680394933015,-13631.413128592032,54299
1003.1273471059768,-11946.40781000068,54333
1002.5095215529603,-12670.547130473435,54366
1001.9233818609389,-10827.59008542872,54399
1003.2927336869778,-12180.048494574474,54433
1005.948303221671,-18166.179927053643,54466
1009.411174053891,-18646.30712232334,54499
1006.4866066319154,-11599.370729151568,54533
1006.5013977828673,-14123.980178146187,54566
1005.2860401009837,-11852.641249337448,54599
1008.1143048464924,-11995.773821976554,54633
1002.3016075201623,-19166.800999977277,54666
999.4156733804285,-19633.98882471309,54699
1006.6888554483484,-12575.773057508588,54733
1004.8889159087732,-13057.266939047478,54766
1006.5574724566727,-11886.874266154673,54799
996.2175098683053,-21425.76850868536,54833
996.3052909241453,-17848.276424868527,54866
1005.1628967147494,-11006.817088221374,54899
1004.6899780671823,-12759.767541835825,54933
1004.0629046389934,-13657.936446523954,54966
1000.8569959004292,-12062.380114693698,54999
1001.7688459070529,-12916.869920820147,55033
1005.884591686406,-14529.011325958045,55066
1001.6829461491019,-10760.406304885502,55099
1004.490997802062,-10515.365353887171,55133
1006.7843439965194,-14031.554935970467,55166
1006.0948186853569,-7881.453031660192,55199
998.259983764422,-13453.077034494034,55233
1000.4486272754432,-12678.706922902516,55266
1003.341442812763,-11466.186150448277,55299
1004.0101097808478,-12393.1913256003,55333
1001.4627720945954,-13965.057737737592,55366
1004.3948601836067,-12483.437388049413,55399
994.5334377736154,-12530.858403106964,55433
1007.0878506245667,-12831.977990244763,55466
1011.2892783832821,-20974.926832330566,55499
1000.8726002583037,-9897.608834907733,55533
1004.4047152199521,-12803.688702829673,55566
1001.6601588998192,-9448.817164623311,55599
1006.8545864174405,-10006.46896263843,55633
1002.6861486305114,-9780.797512192448,55666
1008.55442772119,-14128.461183728063,55699
1002.776739975047,-10814.956240273246,55733
1006.1929374817213,-12061.360990478142,55766
1004.4789438230306,-12466.822658704608,55799
1006.2583911482204,-14858.803900721345,55833
1003.4750383929166,-10395.557157352448,55866
1000.4792848988285,-13862.207813258241,55899
1007.3483558778306,-15565.638563704975,55933
