center 0,score,MILLISEC
1058.3720838886684,-371309.8524967341,47533
1022.2809959746894,-93905.21795896775,47566
1040.1874379151977,-166624.03403758246,47600
1020.1600337645456,-54764.560604733444,47633
1001.5781849134137,-10373.534561069271,47666
971.5757577659443,-125286.01613684221,47700
976.5600093931358,-74741.02859486373,47733
962.1548797913773,-193496.8602300441,47766
1018.4399330288184,-115950.1309348161,47800
1079.2609306063769,-278250.2803332287,47833
1033.441023852467,-161198.15240641235,47866
990.6717358966433,-15370.62865084681,47900
1021.1081719830503,-72765.11220376611,47933
1025.759745382299,-46592.39228565671,47966
981.3392210422841,-20802.665685353357,48000
992.6596853246198,-31814.240443495477,48033
1002.0819085849038,-70480.3333552015,48066
989.4248885120236,-16690.289922666336,48100
945.8657453291464,-36903.90994232156,48133
969.347513916446,-24053.369904059957,48166
968.653805012091,-71871.86639157846,48200
980.774730406598,-18688.210154514214,48233
1001.8896048961086,-25095.41561231355,48266
1051.6944904829295,-180914.68556636325,48300
1027.231033636024,-145528.43888572184,48333
1041.488571324102,-90183.11381409048,48366
1059.5283786626067,-88534.76289446566,48400
1058.0898027372766,-163667.66277729938,48433
1048.04346130265,-144732.93542836985,48466
1068.81608704621,-243699.892783512,48500
993.7615572213165,-59942.64127970638,49366
994.2429885768797,-18051.67632286073,49400
984.0250233331763,-26448.28799556055,49433
999.4493051535403,-37175.950709158664,49466
1014.2091699917459,-54956.35455119452,49500
1048.386679329714,-64266.07664416898,49533
1043.6894405346477,-77609.8688812172,49566
1037.208353952996,-55807.13539128168,49600
1037.637266983465,-48233.92383794069,49633
1034.4548105396716,-60951.69446465069,49666
1015.3371354386135,-36476.51539241766,49700
981.8691419280203,-23812.8694248641,51199
992.9765483940706,-9775.317733375914,51233
1008.7393533601152,-19877.086808782376,51266
998.0077332016181,-21384.209167446068,51299
1006.7399511920978,-11025.377411057829,51333
1002.8791584165516,-26500.329750799447,51366
1010.0793178165496,-13099.488911791923,51399
1017.7280711404073,-8457.305341085495,51433
1025.435638836571,-26153.256642173277,51466
1009.8572665644281,-16038.3128372396,51499
1006.2545541684675,-15855.494367405572,51533
1012.7289841100975,-27591.052176629062,51566
996.5572598683791,-9602.905839906018,51599
979.5091391937904,-42945.308594239315,51633
1006.4129600302074,-33858.49271559832,51666
1005.6075850572853,-74821.23362780247,51699
998.0840903468653,-99812.63456117315,51733
1004.9615617819331,-99681.85274899701,51766
1026.1559607314134,-14910.386809288088,51799
1042.777910904865,-99276.51381774026,51833
1018.431811584914,-44228.09667057166,51866
993.5763834208203,-46317.673392433164,51899
1031.1473849582453,-69797.7754314927,51933
1051.7156841758883,-173030.3162428767,51966
1013.2240482355501,-228662.3088488003,51999
1013.834075531371,-11808.140205954018,52033
1031.3303185580332,-81705.51425283968,52066
989.7926810061283,-35812.934893708836,52099
978.1563337691499,-101148.05378024824,52133
1012.1625369958097,-16722.98572426906,52166
992.2368817369535,-21629.675730196974,52199
995.9203604723962,-37610.99156185796,52233
1008.1905226636255,-39810.570123700585,52266
1016.0110822729777,-15165.287683418677,52299
1005.4693346678589,-18897.587468305,52333
1009.5683592947896,-10192.007019092203,52366
1002.3811170210255,-19628.05863649337,52399
1002.4924362261737,-10763.068402421786,52433
998.6857349527355,-12565.830821058289,52466
991.9485292446005,-18232.268624213917,52499
997.5578504704711,-17448.684612065786,52533
1001.5882915295828,-22988.836979368047,52566
1007.0524713980833,-7263.5183611385355,52599
1017.0230179064091,-7392.991533939374,52633
1004.6469041246252,-28601.57836086887,52666
1003.4292128100728,-11898.963672933052,52699
1008.610207916711,-11191.933348299683,52733
1000.3568685217036,-14879.491615961166,52766
1007.0216705222136,-11820.90608515299,52799
