centers 0,score,MILLISEC
2145.4315298972488,-537211.7526137487,36433
2099.6927989562564,-254053.75005621283,36466
2006.394182467576,-111727.92280133582,36500
1901.6330187379076,-84774.3102287616,36533
1773.9928527635743,-97212.79171877769,36566
1593.0645281236905,-175908.0461702162,36600
1469.8204762178334,-196216.83845390772,36633
1469.751700076857,-227219.7006059419,36666
1499.225646930531,-135161.29792865482,36700
1549.8503759020994,-118892.06158060569,36733
1599.2474510567383,-79062.9514426273,36766
1593.302029854854,-118991.20830200925,36800
1601.3873798487577,-172365.2983056537,36833
1586.0632409927425,-282454.9778579876,36866
1587.2842278339058,-545187.9003486058,36900
1632.5140631087659,-844840.1687605403,36933
1678.5048631371149,-1214213.1221252778,36966
1765.6112436910394,-1449762.6807589051,37000
1962.161943955758,-1604695.528458803,37033
2004.7330066663008,-1767745.859913468,37066
1865.3426217913086,-1769905.5166436352,37100
1785.7813208425441,-1335763.3706492912,37133
1783.2022225920264,-381081.16671428864,37166
1604.5256794112618,-236937.72054914333,37200
1426.7805821169825,-332852.8524696233,37233
1436.228909584502,-261005.5963685623,37266
1515.0025198625751,-128272.82405023831,37300
1501.6275204716646,-187853.94881060158,37333
1527.064195411879,-296914.71545535466,37366
1560.0816789451644,-379226.77509818575,37400
1539.7032562198733,-489155.4139295978,37433
1377.6858372739268,-311094.66887419595,37466
1213.9229237191212,-182742.67634610253,37500
995.7619256063477,-219338.93756369184,37533
866.0489354984173,-301503.2066102909,37566
741.3365595235643,-249642.52756882366,37600
640.8159440295335,-145487.62938768908,37633
565.6747383046181,-142805.45222000862,37666
529.0129099154132,-46524.70571413493,37700
508.0157545542216,-143290.96562352456,37733
387.81070461498035,-89952.28693016234,37766
408.5049017171367,-130970.72636536245,37800
507.4814711474751,-150383.7822099722,37833
564.5733800285633,-358173.492815617,37866
575.9142571722878,-620387.8419284602,37900
559.0265346538157,-711010.667764731,37933
559.8590415187418,-526563.2681485787,37966
524.1015368265239,-461380.89548037935,38000
507.69357721975746,-354014.1582490309,38033
461.8459238228239,-297940.71324121155,38066
400.24356627636973,-247401.43827186635,38100
395.5854178301266,-162248.8860008209,38133
399.7429292938695,-129073.95239778215,38166
400.6120967990079,-87363.73949151175,38200
364.709543430232,-98866.74465455863,38233
357.3128752789089,-113880.5457995944,38266
539.4246062105904,-327538.4710727474,38300
735.4663837064951,-698667.992188453,38333
1039.229074632624,-760617.6521911002,38366
980.396876638723,-994368.8213851822,38400
858.774063080567,-1307111.5429004715,38433
918.7595254049012,-1630414.672388803,38466
963.6140484118977,-1712594.8285161646,38500
1050.493153926631,-1470967.6677663964,38533
1054.5571371637118,-1600947.2222853822,38566
993.6170596258993,-1600576.6941019103,38600
925.3290601711027,-1174022.6520143189,38633
839.7504451249863,-676162.9495619369,38666
677.507467817851,-415577.15525521827,38700
550.1654948128961,-342333.641586406,38733
455.0795599531568,-292543.9705642059,38766
353.7768725077372,-286623.6223932213,38800
310.98101544311874,-233563.04016983366,38833
319.61220348633253,-197256.1969130557,38866
384.1616961603041,-101878.95601619105,38900
410.20313188585,-70673.95295519987,38933
395.6703928596702,-82547.70107137124,38966
949.8275953408178,-5120841.695645399,57899
841.5061352094948,-3433758.122023897,57933
725.5194920817924,-2322885.3330468913,57966
667.4681431014525,-1757738.389723495,57999
627.1795556175346,-1196813.025076959,58033
632.8660781309097,-1248816.635756006,58066
531.7746475005431,-761710.6213783657,58099
496.1284131886811,-483953.98813440657,58133
479.61208451818464,-509450.24192060856,58166
399.1853444899197,-368211.3037223207,58199
351.7529259169911,-210535.39554417873,58233
338.57796943381265,-152105.7930703811,58266
334.8371930733449,-100605.27067381775,58299
349.84067633951474,-80122.50589155447,58333
358.2836854853083,-62906.00357532344,58366
381.15311894620817,-46990.49958788846,58399
442.26797647104627,-25996.18494103033,58433
433.0581648924355,-86790.12909998074,58466
483.2287855560504,-59823.70405012318,58499
468.9486097375993,-124867.00712586366,58533
448.2918841688458,-118304.93294173077,58566
471.3502137624552,-95443.87993043874,58599
595.4332285141563,-74787.35190604282,58633
729.8378049665235,-132639.8922082337,58666
804.1820564730865,-112956.10023358793,58699
755.3433121310563,-119309.40409442768,58733
669.1379744421426,-65197.8557973325,58766
561.7397466279821,-65205.28529165243,58799
467.7222699153861,-62698.39112599345,58833
406.65671835391555,-3539.5670881211577,58866
376.76172541657417,-16715.01130562994,58899
417.16999349318854,-6954.98264446529,58933
522.3098868941588,-22144.910263054968,58966
590.1610516635642,-73998.66549677982,58999
597.9887227187787,-68092.43750581797,59033
568.8572635874356,-53895.0683190743,59066
513.9092136828993,-79924.60045912037,59099
460.5920463723928,-91986.83409245776,59133
471.3892084250159,-131855.07090218464,59166
522.8010340419161,-166753.39402351665,59199
572.7863194655637,-122252.16116546633,59233
493.08207293244567,-355987.3467632119,59266
463.27810099370726,-153200.0056983221,59299
466.8964207536512,-96455.66143714759,59333
567.733411755744,-158194.86588091415,59366
594.6941708540423,-124680.21576111505,59399
635.2573284679925,-30950.63313854567,59433
588.0295184013459,-61429.4274434065,59466
513.5746232662267,-72724.53168476655,59499
500.40627652368465,-87133.79207850824,59533
536.3212774336668,-133344.43685959902,59566
557.082619078078,-98890.77760554515,59599
631.8804119015937,-118132.7252753617,59633
773.7878640893871,-443178.7069399211,59666
811.3998539147474,-626020.3853356325,59699
909.320364770955,-1388118.371064086,59733
1228.0995672034192,-3203859.2651738715,59766
1551.6192057113026,-7321141.202339133,59799
1859.6671532977598,-12425425.394727036,59833
2005.3961707801543,-15139352.991101472,59866
1957.783145791846,-14207172.770266915,59899
1935.8505308240608,-12237707.611541009,59933
1941.6785903947034,-12341878.258014191,59966
1875.7478698423254,-13397639.64390989,59999
1779.467904766649,-8718645.879526958,60033
1572.6742162142832,-5427476.048273951,60066
1332.7618244712824,-3149659.596159894,60099
1168.5639332662693,-1500026.669346331,60133
1148.567674562825,-537856.484746722,60166
1222.1778939827227,-337898.97729978175,60199
1293.8364742615022,-240057.88935282675,60233
1296.6009595234802,-140061.75881395256,60266
1253.288128122553,-103542.33953533688,60299
1165.482198812766,-56011.22125279986,60333
1155.96667572938,-847.2230158306153,60366
1231.2219477062445,-75331.57743220871,60399
1313.0753716848776,-179015.3413731026,60433
1372.9078005897866,-171407.8553985721,60466
1433.5344215042653,-207680.31181215702,60499
1483.3012639222968,-237662.80223258282,60533
1538.7223823013717,-342114.1510239559,60566
1548.3554068952917,-275950.66969057824,60599
1551.418136548114,-274629.8279478865,60633
1417.5584960707563,-641275.5510880777,60666
1461.4930354106023,-776701.5372315211,60699
1759.8453901114817,-656689.0145168308,60733
1883.0729833116102,-717215.6976095601,60766
1732.992073081904,-914459.3731764229,60799
1532.215694060316,-1031054.33437632,60833
1524.82108703247,-582490.262705585,60866
1589.327073128094,-80378.27311043018,60899
1629.5304854170606,-81210.98548219232,60933
1793.277735437553,-169547.81791980827,60966
1893.8740745749096,-76606.94826514741,60999
1915.4406186502779,-57824.182123205705,61033
1907.503532496452,-96621.36756778607,61066
1857.5900979589258,-215351.13982474437,61099
1802.909158572245,-231336.82968160065,61133
1814.7885294277862,-144060.9672866657,61166
1914.525032293121,-119258.50361511973,61199
1999.0089083594082,-105177.92149863445,61233
2111.555475442885,-124040.37063585526,61266
2235.219779464831,-245221.68744596685,61299
2363.1370576983445,-586501.2326640575,61333
2395.3114227798014,-782861.9395030173,61366
2238.9446214447453,-714615.9105182303,61399
2004.3024217930092,-286608.00997338945,61433
1691.5247236427167,-148444.54652715367,61466
1515.63942346455,-111617.69020023457,61499
1425.2377391316224,-105968.93477490617,61533
1390.7764059735057,-125082.94293709315,61566
1335.3675987339732,-168559.88125731156,61599
1296.7487705662404,-195438.13017471856,61633
1219.4623797587842,-154566.52176521445,61666
1145.0076043585482,-108024.92980549247,61699
1118.396120927055,-119507.58347658048,61733
1098.984322463371,-179415.29489862718,61766
1093.8144395644556,-211854.85900147975,61799
