center 0,center 1,score,MILLISEC
1018.8666638831359,875.6979407534981,-22873.51630455342,83899
990.6322216093522,1792.6815110331227,-111440.0226397896,83932
1295.0603461532564,967.488007476443,-52898.5195246301,83966
954.2785014130982,1292.2461548041763,-116257.00246454311,83999
1340.378128218215,916.4283800314885,-353305.0830940243,84032
1010.9342451864136,1531.6010981717186,-166958.47888963716,84066
1045.0480576545513,1942.242545664569,-220669.58831512558,84099
1034.213406956087,1534.595082928597,-178991.66711470598,84132
907.9264704392858,1123.8775142730487,-71474.09203983913,84166
1026.8664614309507,1176.0448695218668,-46273.493110547846,84199
1032.7259755335995,1189.2247877076925,-26851.02039131665,84232
963.0719665958278,1151.435067161373,-33777.487192794026,84266
1095.3991588810459,962.9972049063274,-49379.5285223856,84299
1006.756515335748,1117.014122628588,-18756.01839919679,84332
1061.4618173709546,956.7206648350123,-11618.519501414678,84366
900.7431729532107,1079.2683332835522,-37514.68080304595,84399
839.2601167834775,1058.2986118921986,-61977.627239499336,84432
1038.690688207329,752.0781587474014,-95189.41222082978,84466
1029.1363524196677,724.7373438011617,-83894.3762836352,84499
1025.6884810405502,767.3085692272599,-99816.17587946691,84532
982.5817505836578,644.5702241429898,-157280.02290417516,84566
939.6748512557908,406.086197746242,-108803.60876111148,84599
989.1792453288299,614.1227947897614,-131924.04669776477,84632
614.1697183524673,1090.1633965907622,-174380.4530397177,84666
1148.283939202876,632.7216961994645,-262887.7000688531,84699
961.7849171901535,1257.4558240416766,-194653.1442298603,84732
1180.2462046699623,866.4669534150441,-124538.70862689681,84766
1051.2316222141378,1386.220119632532,-102220.44412613678,84799
1057.1790512593366,1377.5166773136855,-106532.35812007471,84832
1281.157648422465,1015.0231863657431,-95330.64198237323,84866
996.5266694998219,1387.251599386355,-80533.95463389224,84899
959.4296301864457,1143.8630926590495,-37497.43658915062,84932
942.7767609534242,1038.2240600492914,-16194.95261310161,84966
973.553647402831,1102.4497488422103,-13117.24135651448,84999
996.1313742013717,1077.7031848014303,-10194.365992825176,85032
1064.414005411738,977.9244410535239,-15342.051360702193,85066
994.3201215097099,1078.8511550219337,-13181.450150045024,85099
1076.8848366207924,1002.6006164465756,-11130.420457244916,85132
1007.2291799211667,1081.0087659007309,-11721.741567122714,85166
956.9535817240368,1040.7622851349524,-8663.642714539383,85199
974.5525187729648,1041.1184967821946,-6294.535480600984,85232
999.2953718158207,1090.9822715150053,-10040.927997127319,85266
1057.1031978986707,1005.9007855604086,-3693.6312770488043,85299
1003.0543075203225,1054.349376538617,-5154.2427496344735,85332
