centers 0,score,MILLISEC
1039.7031395310296,-141618.10638912627,70733
1065.8091394295714,-164342.05293434742,70766
1059.7290356899741,-118214.93464955817,70799
1035.4079101669922,-54108.35301795052,70833
1027.2682489620388,-45405.114791466185,70866
1022.8205689948036,-44219.338258341115,70899
1028.1339567636282,-34611.07119305121,70933
1033.1608995382903,-23849.89064369442,70966
1043.3458494787062,-23427.01400890866,70999
1044.5942454424048,-18500.79821780909,71033
1040.088628390741,-13773.321476271936,71066
1028.0312680924853,-19233.38918650526,71099
1025.1400769357167,-25507.16256372846,71133
1021.2849448202215,-23562.983736913964,71166
1017.2711252947212,-24364.322265787236,71199
1017.4644709437807,-25199.805873477853,71233
1041.6364945521234,-94509.61147462636,71266
1064.5140830697294,-232148.271139413,71299
1111.4483590900393,-149327.7212169453,71333
1154.4353145003588,-254551.67415132298,71366
1203.90553353143,-414760.4613184506,71399
1123.7922680826775,-228068.01116146683,71433
1054.8723731016048,-168891.42347181856,71466
1011.8217081714942,-21814.29396671686,74233
1012.6444845023279,-26112.368112231517,74266
1004.2948773543942,-26539.7891155569,74299
1007.6490837108622,-26389.185546555254,74333
1013.8412229422913,-30614.594606067552,74366
1016.2501245974372,-41021.94809109325,74399
1023.578945526512,-27548.276397340658,74433
1035.8129569005416,-22977.293071305103,74466
1033.8892096517554,-37928.63465069214,74499
1037.972880066003,-82057.8039597902,74533
1038.4722222233274,-86159.09872870281,74566
1038.6818320705852,-95568.82762388105,74599
1039.71248242047,-114794.2623850186,74633
1052.1975663115445,-119864.50316900872,74666
1046.0336144247626,-114368.83989546946,74699
1046.2200649573942,-126070.21088873227,74733
1049.8840527199375,-121295.61350974985,74766
1044.8608792971029,-152193.88663176072,74799
1033.8848055430856,-123246.34187417888,74833
1032.4544884155457,-96610.66960949762,74866
1012.7574762414167,-39498.70907385969,74899
1017.0519947063693,-74409.84102072433,74933
1049.3506648602572,-320762.9145173781,74966
1070.7077005035096,-186129.32131979108,74999
1105.0943902330528,-256736.2188069981,75033
1180.83523854525,-787947.2305565263,75066
1155.5052826589824,-581856.6679549643,75099
1098.9161669486907,-373976.1283007567,75133
1041.0962838723087,-220001.44331630497,75166
1024.9696020547399,-99516.03781996772,75199
1020.7580313921438,-61325.661574960934,75233
1015.7321382304087,-50975.57385410975,75266
1020.2702845407082,-98368.74373155783,75299
1032.4532687098997,-364264.9668839015,75333
1027.5680751752109,-472309.61409139534,75366
972.4973054297741,-87419.85490925936,75399
943.5270559701443,-63808.11443699429,75433
927.423756201136,-71808.82294041314,75466
934.4050197016276,-90401.14650241565,75499
949.1045278984353,-94114.52196300981,75533
955.3913711937345,-112345.24557689398,75566
995.4278166867067,-169752.3882613802,75599
1087.5237036322665,-446158.1046073318,75633
1152.4971468357037,-470563.2245689964,75666
1182.3545165100734,-393931.7566116886,75699
1281.2178265603354,-722165.0944641681,75733
1223.392644673739,-330092.99133111426,75766
1113.7132716957396,-225561.97518034343,75799
1075.3949623571496,-282373.79898983764,75833
1098.061521085225,-158986.33459203245,75866
1066.0580422435373,-79419.00908601968,75899
999.9621687075884,-80370.57845786419,75933
957.5195688571625,-151881.40408949758,75966
966.4968984241764,-239465.92538315483,75999
974.8238445775752,-548246.5526879276,76033
943.2871027364469,-127313.06897727917,76066
919.3823070372556,-46227.776109654806,76099
929.5685305689701,-45081.55161353,76133
947.8540730662926,-115869.49874622954,76166
