center 0,center 1,score,MILLISEC
1651.0666249427975,963.7113065647358,-35200.07039715929,76266
1084.536049153055,1632.7562586007748,-20629.232349929305,76299
1648.907820346547,1191.0115508057647,-16615.943388989595,76333
1235.675854566186,1515.2579313387341,-30614.350356498708,76366
1631.8574725276455,1294.7196662951799,-48478.335836864644,76399
1259.5293769640532,1642.9344505395488,-89033.02815425278,76433
1842.0389178252296,1409.403448724915,-48777.7130964025,76466
1394.6042319940543,1897.3853024803045,-72257.11400371755,76499
1300.2773459995522,1804.0662391874632,-81723.47968908945,76533
1492.5718237550159,4266.5924342500775,-291837.40373050387,76566
1333.934446101907,2070.464108722834,-45308.429489514616,76599
1463.2873885041374,2626.5498825326745,-319113.4850694118,76633
2630.5524206200716,1410.0032991910355,-452677.0135509464,76666
1274.9305576549891,2631.951564106542,-521424.147866868,76699
1166.94981189727,2317.8565653449814,-49807.29451311106,76733
1016.4029617177102,2155.6008831762247,-112320.72313415908,76766
889.1700204430549,1759.606357275485,-112962.9591072886,76799
1365.6135143055494,699.9136241523411,-106521.0260900121,76833
1220.0348741898065,612.2625851682624,-16122.77088814081,76866
633.3317962418718,1209.9064769842928,-7432.6225924590035,76899
1430.6722231302554,693.9060996421058,-261071.6196495573,76933
1003.3274683613103,1774.5745373519799,-391929.39645906567,76966
1423.2024482304423,615.7215279653619,-131867.16540350174,76999
542.8747553533872,1250.3974560893557,-95395.80722107217,77033
426.61571144778804,1289.2900969684947,-193680.20706870398,77066
781.8348577530105,1699.3534064461105,-334602.02080931887,77099
1961.854479822599,951.4492660453229,-248240.17656726553,77133
1629.419411235982,300.08332176247313,-289435.5291495463,77166
1121.2299909536298,2867.0476949150816,-995468.9523226081,77199
1083.0559053711172,2608.2314322365514,-940273.309308785,77233
1456.110995758483,936.3752039585382,-26012.9682972961,77266
1071.262815096216,4766.053398777651,-366380.9239685232,77299
1180.9605796222072,2075.3797242914366,-173716.4375135221,77333
1514.9145855222368,1229.7650182046975,-28168.194287955303,77366
1106.3362539680127,1478.5758645924352,-40560.104757540226,77399
853.9847007160646,1641.4108517731247,-64506.22419153035,77433
1489.8768041430142,832.5950163452103,-19374.402944033747,77466
1204.6399987425796,4459.096545265644,-560531.8937179118,77499
1589.4004586241313,6359.636624839504,-3712689.7285016035,77533
1176.5069319507359,3986.605580302614,-514103.2114157211,77566
3649.9774319835424,1239.6457222002405,-835951.9423135814,77599
2583.751376300289,1215.4817130373526,-486531.2667480697,77633
928.6058004416527,1604.4462443173898,-137610.30034999776,77666
621.259368143257,1008.8587687166639,-11161.362049716372,77699
1171.735453221284,524.8922359409528,-56041.477275345795,77733
1127.6746521717728,600.7395044989239,-119612.90090170491,77766
729.778087706613,1472.2948074349783,-72425.77081311622,77799
481.1070658030695,1274.338640253884,-393432.0723363685,77833
554.7288055212782,1496.1015171492738,-418162.65580079553,77866
1656.3270022826491,725.9738160875108,-357484.6212387938,77899
1993.5771368574974,1039.4826595473771,-407542.80029906053,77933
2109.7414325048294,1052.9438025456077,-493703.22198733117,77966
1156.0549367192436,2032.2400660173362,-196686.5780089036,77999
3470.347244873343,1465.0374115225047,-101855.53135775536,78033
1585.6946715777262,3438.8572229739343,-466009.6341200263,78066
3044.7326378127186,1464.8079914976638,-197428.9726097493,78099
1476.234185070846,3331.89165505045,-134187.89049499424,78133
1378.6655864250924,2968.7027244237065,-189158.8704199921,78166
1256.7437248864721,1851.8968474215142,-121079.76289593992,78199
1787.8304403861512,1082.53928884597,-93197.69717190522,78233
1773.859633680185,945.7359641099424,-101287.94475615087,78266
1137.7008232444114,586.5901465248116,-52304.34715595475,78299
978.067437435819,558.2920337554111,-49944.27357368449,78333
449.13292426271664,754.3825289599436,-17596.465372883216,78366
504.036531673839,1418.8831566411282,-69238.69981483706,78399
615.7961789405442,2068.7500375563027,-177190.76222826936,78433
3170.6257037809037,756.5623767138222,-530515.4034710932,78466
3614.546229145066,899.385893016957,-568600.161072641,78499
925.2170693183027,3622.42655181701,-180802.87730840902,78533
2817.3113215584344,907.6558685397843,-122694.30775320625,78566
2833.030578637776,1042.2837324532206,-267501.3441967631,78599
3020.0461063732287,1108.736165735731,-336065.3751286913,78633
1128.9165451369577,3182.9022441267552,-555504.9110138349,78666
1143.7803019584453,3454.8208085128435,-649180.2246888652,78699
1126.339554869532,3275.737349828677,-765117.2512837028,78733
1213.9408694876838,3372.884346142108,-1236857.071261509,78766
1206.5171865286363,3488.055752799326,-1098514.966560123,78799
1770.3072913332237,5190.820359056938,-2743023.3770096987,78833
1405.5227834500715,3071.6021010975583,-687850.1806744225,78866
1373.1933536727454,3316.939296588881,-572221.4457759159,78899
1352.648105142399,2590.575021340615,-375578.4285761778,78933
1268.8655459406957,1831.4573423179913,-39768.68551290199,78966
1664.798882640336,1298.6949208294361,-6754.868554452708,78999
1596.3452029273062,1051.1243619408099,-110076.71338553054,79033
1637.4239603873552,991.9408473113965,-3281.0327184631915,79066
1739.0900643019343,1030.925852386645,-228657.01850062163,79099
1809.890909795422,1162.7045774776193,-142102.98581757332,79133
1243.8375862548887,1513.17188008624,-17267.701988044653,79166
1780.8659093146084,1262.7129050994663,-44833.58396790502,79199
2303.509713459008,1289.0012128003136,-220402.49359728093,79233
1230.8296004806418,2546.0490961487762,-251981.97832265473,79266
2361.588660203127,1172.1261879546316,-352286.79804377403,79299
930.503646447667,1681.2590863975383,-296954.66065421514,79333
799.1829336111764,1412.9891368676956,-138084.37453092195,79366
1483.8892442282731,930.6156609190431,-74326.89668392712,79399
987.8754344017864,1540.1063915550092,-89134.98369926221,79433
1336.7368938312534,892.1720525429395,-47894.48733375409,79466
1255.8973659744022,764.9987183926177,-81647.3401309806,79499
899.7835555253541,1409.0110006667796,-54518.21282460845,79533
1385.3479707279323,817.5527884650181,-70824.75229229327,79566
705.2697328651743,1478.4498638777036,-181640.4156171424,79599
760.1960445099555,358.7391370903555,-41805.38477358714,79633
642.9798178620349,251.47167429317662,-31589.898728768418,79666
191.33933425495775,977.1689010158154,-134090.65527569575,79699
396.37136261781905,1391.7230327906484,-244690.97158597363,79733
367.115030748245,1229.9087120627382,-330883.782580498,79766
527.0002769857592,1758.7850920450742,-316209.8322277318,79799
558.1010609425382,1745.3357843120045,-306084.82309925347,79833
1088.5473924516425,333.0560426195,-42875.16619737287,79866
974.7763846134148,391.27294872492973,-51205.9183843939,79899
2588.7840775159293,502.3786613373693,-287331.7225314912,79933
573.6687856121309,2067.6537427722274,-315828.49765721173,79966
518.843210625601,1279.321911220646,-175703.06330466177,79999
