center 0,center 1,score,MILLISEC
1337.6206487640657,1084.7059689911796,-7383.843339624271,46600
1042.0299188844738,863.1506241670685,-1413.592598468871,46633
819.8917969217717,1031.2528362209146,-1009.6460397357525,46666
1049.9362942922567,974.0539290771645,-1815.2202822080612,46700
993.7796811129745,1154.3994109492608,-2437.781627979403,46733
954.1171413863334,1335.6079436142677,-7718.2834472487775,46766
942.3802951492968,1141.5853966604245,-1495.7022062948238,46800
992.6404352487615,901.9833701349488,-419.86523659767187,46833
1042.6534886333684,956.4115824291057,-2012.8779129066586,46866
1249.081707982904,1002.2198907845819,-750.6451122444071,46900
1252.267207935186,983.5742599390212,-16277.705416647517,46933
1000.6995069258594,1102.654580236108,-4864.243883691322,46966
1019.3483667122864,949.85854210387,-951.221827603767,47000
990.8075202554928,1028.1427889512975,-32.13219266634989,47033
1032.1387534268151,936.3124478506094,-2193.3746981614386,47066
738.725891033228,1032.8203690619605,-260.3715864735541,47100
957.1058302063784,1026.0132890724535,-1131.7506483296202,47133
959.2161620304217,1033.4483906980072,-1804.9802903531988,47166
1010.7561780609337,952.9360174982507,-522.7386441090642,47200
1008.1870586035359,955.6825771767607,-294.1447710557354,47233
989.9676972089031,1060.097057233808,-1651.3339371448906,47266
996.6323322408705,1237.0808381023448,-5997.977328492266,47300
996.7503815656235,1288.1160661990052,-11681.707395136493,47333
964.7781799825278,1618.184476504456,-28899.253718404816,47366
922.747259758094,1805.5879928710203,-66979.97843571496,47400
918.1641080833413,1525.6378993719316,-79427.68251008906,47433
1048.0610170872137,634.5336870490014,-78278.4178484602,47466
1008.0365160158813,674.5465143338894,-42974.52951425625,47500
992.1765026144268,910.0335158663114,-2579.150639217318,47533
943.9975786000671,1209.7985609007787,-10927.598876440106,47566
972.7733592522608,1323.0846533763438,-10703.966116288004,47600
985.179128319296,1476.6729495727889,-4609.340496128491,47633
998.5770558350728,1378.9225322052594,-39668.89103254619,47666
970.4337088015691,1352.8617393226964,-29918.479018432674,47700
990.8977952073101,1304.184850167756,-20320.43154569122,47733
1031.3030129801443,1320.675584691411,-13267.381672305415,47766
1120.7489785811176,957.2487953331497,-5846.668694612057,47800
922.0739183748676,1049.8220286627993,-1512.4834271032441,47833
998.8575020275523,899.4872965933636,-1284.1910880438315,47866
943.5193705879049,1046.6675690017341,-3591.7893016156127,47900
971.690927348887,1104.8610772400302,-3776.966831439202,47933
1032.423852867769,926.0408692253488,-1474.5811377349753,47966
1032.9091171396774,962.1673451120652,-653.0229189289149,48000
1066.5896114194757,962.8058663432762,-2460.5299061014393,48033
1041.2027441239711,974.7746709070631,-2057.714131504851,48066
950.8943158942533,1031.9214650690708,-429.35971880974944,48100
1049.7810644733026,983.2533221415749,-1870.959015011877,48133
973.1856983939149,1020.0038073198577,-706.8920420792783,48166
972.7581148356128,1043.810941652347,-1248.4543034505186,48200
1062.0945678375701,973.4639964323599,-1777.8008896650053,48233
1204.9030662018554,1002.211430776351,-14451.946178392482,48266
1164.60139292379,1833.047189790814,-76402.38239987331,48300
1613.8552516280904,1073.8449949374535,-110344.53407285863,48333
1254.1957147165156,1059.2352853633508,-3338.548042627322,48366
843.3196407076967,1071.8114900580624,-27988.21034895616,48400
916.274390612136,612.2707995413112,-22928.659383163715,48433
873.884106912688,639.7598877272021,-15409.275166796579,48466
835.8504727304321,1099.0768853906445,-6334.948945252929,48500
896.7014798826698,1049.2460640506365,-4753.003175202215,48533
1119.340070985037,946.2816705400143,-4813.2219488493,48566
1209.0238647140065,984.8605356818362,-14520.334168996767,48600
1212.059154394563,1054.4183600424462,-16283.662755808025,48633
1139.4133145936341,994.8921150938125,-2661.2542285648738,48666
990.411067153485,1125.2258201423667,-4358.461549561576,48700
1026.8965502857004,816.828011272875,-11116.900045311319,48733
1021.985789306331,813.718301452145,-1281.191131419251,48766
1032.3949562638204,868.0300647607246,-2697.7285765255983,48800
859.0647965271523,1007.3654865445211,-2080.6802922853262,48833
984.0282557299522,835.6973136249751,-2997.567700270919,48866
967.3435851045813,824.9157532742358,-6314.5534280627335,48900
1080.0680534114506,961.4590512449947,-2230.9711162978942,48933
1181.787628975697,1021.0572709207904,-8300.197999149792,48966
1056.881393004345,1128.7103259915716,-710.884484780724,49000
1070.4638707454892,943.7907607091732,-2292.405714337241,49033
1095.017289243862,990.6907434129539,-4118.825261714435,49066
1077.1377168931624,1001.4005348206065,-1703.9542605637375,49100
1020.9541348140924,1068.945274558057,-596.618424031441,49133
986.1327142075486,1032.8390233884838,-244.1952370747341,49166
1025.10179796143,948.1454841443883,-1668.1932419368345,49200
973.6944366733161,1064.3420190761997,-1909.5648318979618,49233
1067.2584472665862,984.5231350807366,-1866.4029486246163,49266
1028.8009399349544,983.3085093267134,-948.3784349384283,49300
1050.2429239067508,987.5176047587147,-377.54244243039125,49333
979.0624494557372,1101.8940139799847,-665.3241073497584,49366
962.3003530713482,1070.4720396053988,-3260.898226689619,49400
971.7221788828332,1056.9308122203497,-321.5375600609616,49433
996.187231397793,1048.992466092848,-531.224321780661,49466
1056.5495729022846,1005.297438330191,-766.241947023531,49500
1013.2308821132692,977.9448422154021,-438.0158168095526,49533
985.0037739176461,949.4514205582085,-198.26147197949717,49566
1051.0118933675299,981.0001081209521,-1387.151466721469,49600
965.1575891712637,1091.1975073285312,-3745.3122604564296,49633
1001.1093125990888,951.7891578299271,-595.2307569362174,49666
961.9857241197841,1033.422677579148,-628.641574901799,49700
1042.5187966494454,981.3589752964447,-1805.8020805216217,49733
1007.3997135013952,978.8853061561243,-164.56649518190488,49766
991.7582848633706,1031.401958501146,-108.01761946231024,49800
1022.5397603846816,996.5590580528659,-232.00830322983586,49833
1023.2516796956651,1003.5958151943202,-50.75889779207,49866
1022.4717333298959,992.9711503117685,-84.25292112149555,49900
994.8247696376525,1011.3338080442531,-156.1415509128479,49933
990.2077064750321,1018.2568309684472,-381.474633199286,49966
1010.8681268981913,978.5876226849709,-37.419519580781326,50000
1003.7334845381998,986.974163795588,-104.36806721306607,50033
1010.2064133062372,999.5068784155515,-26.010059790864315,50066
992.3981056007715,1004.824413258056,-22.594082414003385,50099
1003.294981523677,1010.0390830396015,-8.641613255487473,50133
1002.4486870393993,1011.5882835806572,-22.17860363327896,50166
992.4207776946229,1002.0924030868669,-18.262702353696106,50199
1000.8650100143955,1009.526974293067,-15.271536022921888,50233
1006.7283841548701,1000.5100095869219,-20.083222980282287,50266
1011.5265691023642,1000.3230326125416,-23.32169939213226,50299
1000.0458137241893,1009.4221119036376,-14.481810895937254,50333
1009.6700009464421,1001.3857227449199,-10.88122552623549,50366
1004.940939432076,998.1844771722265,-34.66510398023131,50399
996.7698941044591,1004.9573155696378,-14.922387091386735,50433
1000.4044843730953,1010.4807478406044,-11.919425589590476,50466
999.2958783089526,1007.3794357013312,-18.587836351688686,50499
1008.2048402978435,1001.8273016309065,-1.2308277465835735,50533
1000.3065727239398,1007.141003037807,-15.042261141087563,50566
997.2808139520441,1008.0823379069788,-29.91249259337343,50599
1005.5299948199422,996.6310362418965,-20.591833024867448,50633
995.1053076414424,1002.9635885977093,-16.360005900472945,50666
999.2424842873161,1005.3283045851241,-2.830381250982499,50699
1016.7482150331541,1002.8806303364764,-53.4583415257217,50733
1001.5194275124936,1013.6822555251954,-49.07861184651691,50766
1002.8875166666755,996.8821212575325,-12.36677954408473,50799
998.2331882139848,988.434115153863,-13.007792572428498,50833
1003.7829915954492,995.5036805050015,-30.677870368760978,50866
