center 0,center 1,center 2,score,MILLISEC
3219.4808587721095,648.7877871988806,1458.927345689291,-1338.2215447402573,46600
671.16102110829,2360.651181348062,1605.3563467342694,-22186.651234632212,46633
751.1067180435364,3086.4558963315835,1391.5448250056481,-64771.09432960265,46666
1292.8973620293225,861.8940322220036,636.1359917501917,-3718.1769554299135,46700
644.4804108737518,1138.2868706964866,793.940920248148,-4863.445466571557,46733
1180.446525684243,738.5747238381695,1751.7779539656274,-22690.131922115368,46766
842.7552786236874,1411.2186223261085,580.2981992045125,-1891.6210557327495,46800
619.981523707197,886.8527939343438,442.73807155021126,-3732.064305101482,46833
349.93856603695457,859.0873008543392,719.6947790429894,-3711.8690581374594,46866
595.5098655773891,901.651240701881,237.14341652257605,-4992.120422275821,46900
1244.1724157045116,551.3277858748413,1072.9259061090845,-7686.0175670354565,46933
329.66459548860587,948.6432416878329,779.8749899823689,-54.76344400157663,46966
253.62568944736324,769.3380271376166,917.5756099635604,-6434.028957048977,47000
210.26752566101584,876.9178705340764,638.2577849113945,-8937.231980749855,47033
206.82429195039288,729.370285975321,854.5302803294919,-2539.396390994169,47066
661.5330679565459,233.43371651835298,760.4349823745474,-1482.6751469020303,47100
700.9352446791042,348.8940977748705,1079.346561582516,-7314.382609006744,47133
481.1652220038918,1237.5536352013194,903.8218851079012,-12874.08740183649,47166
474.54932577254954,1046.2891569733483,586.6784654045706,-161.63127871351696,47200
407.89948383655565,883.3979850554335,503.6074335821892,-631.1278532649109,47233
885.5422067863282,434.39931738942073,489.0102248419761,-976.6991548158671,47266
522.0239458109178,789.099486756898,405.884026844056,-1629.4702585609648,47300
457.71870374347117,1466.074009045928,1011.1211599012257,-28888.764730189374,47333
496.37777576914164,2915.8410450502956,1362.4331176244946,-43390.31116743929,47366
623.9065716080524,5205.51150224452,1936.5520907014095,-52878.769712857786,47400
713.011628690168,5984.306893868328,2541.3813173154476,-44033.25205778101,47433
2971.448468339978,781.8385669030788,6055.121964089576,-46386.365908820066,47466
3939.6235860802744,866.5524138523228,6351.617274364065,-33726.7421401367,47500
891.2574502471325,6152.914431389405,4761.983095308088,-73579.47213694145,47533
5617.644435170314,942.2201712237024,5056.102154822428,-147544.44681753148,47566
730.5913592155473,5070.392543140448,1361.1223310195157,-26278.44861063304,47600
4517.565494022567,750.7061028430589,1447.2722618774949,-77282.70874164639,47633
857.6355826174745,4243.487428998944,1443.7607142459585,-152003.29471263714,47666
1140.5764360200765,4411.809832710381,3604.229459953958,-177870.1807872217,47700
4016.1338374112984,1271.3281085141261,3241.299430783895,-137747.52150568418,47733
1408.586822200045,2876.0358134070584,3391.9262963690708,-17413.492973136264,47766
1479.7097688398221,2670.2010216077906,1295.616899060994,-20526.710144567856,47800
1091.8544075320265,2207.1621676407094,1301.5813459019762,-6911.236976907763,47833
1778.691091786317,1023.9412646894839,2116.2920403384783,-36245.85939830109,47866
995.8470020433812,1974.778215395339,1490.1926050011118,-39228.24556362997,47900
1280.721340295182,1726.4634372033483,1010.3897000430843,-8786.005118717678,47933
1754.14851138665,1029.8862627169653,1293.2606079209247,-11667.857600646135,47966
1313.274152642928,1111.3233836638333,1628.1679888758408,-5800.010765905359,48000
1326.8176917626215,1531.0989517336886,1183.2214501098263,-846.4384771273407,48033
1352.685064907859,1458.413128006841,1539.005198171858,-372.5264650465914,48066
1632.71478761798,1472.3286420846493,1538.7790614639907,-681.5839814948134,48100
1724.1232554547832,1545.4608519387045,1663.4429850074348,-1782.3815088960323,48133
1714.5513329436014,1618.9437256539195,1829.843162678157,-1941.8797342514156,48166
1767.9267666219125,1534.604509311764,1961.5960338459088,-3140.8435853685014,48200
1597.612558146653,2282.7417725183022,1849.4012978354808,-7758.907233093811,48233
1362.2147407806158,2316.0546193904843,1658.8601382622473,-19765.12505367295,48266
1702.804703730691,865.7944328765345,1589.6817374632255,-2986.229057068077,48300
1553.3272838730313,1887.0452614179912,1358.70011407963,-9158.061071073038,48333
1709.7820314758856,840.1005892153629,2201.1116257585254,-36177.03158571156,48366
1766.406661400902,153.49918566559245,1227.103092653588,-40187.51967555755,48400
1336.5747125601304,499.8189672271351,942.6611268106901,-9125.11323441434,48433
496.87221697333814,910.0507768770497,1518.1202192184912,-23445.75051643516,48466
1044.257647075003,1381.6891967803022,441.0,-931.8600519643419,48500
657.3043435121967,1122.986396845516,1353.0576484392673,-3725.657499775391,48533
885.8675755978402,1463.8254677385553,1265.983412213604,-4381.91551321507,48566
846.7431723964474,1335.092494558255,1113.6078292747557,-3063.267104364799,48600
1145.3423069109078,1353.9762675999561,1394.9297473349689,-309.8003282759279,48633
1572.9800276483236,1276.4356733364102,1010.8219427772628,-2196.608907408617,48666
1430.138732206971,865.2106668459737,1032.1569648071945,-7616.417234765617,48700
1082.3916216930888,859.456913141926,631.9920885580768,-10951.383482314073,48733
335.25661813005274,779.2586561593296,1040.0798046303946,-1621.8404022674436,48766
943.7227096715109,288.51863024768437,780.5911658370521,-3135.7581348262984,48800
797.0837342808325,461.7369380935426,697.4563523440303,-487.3142397663685,48833
599.6549007554262,924.1412229740647,697.416774192819,-1677.5292234474468,48866
517.9372548871147,836.8465628808889,1170.6105244700304,-11399.490583327024,48900
1359.624212788225,932.1116204436757,316.65438572677317,-11736.781101595152,48933
93.1557835026897,863.4491903761224,1069.9464558687705,-3439.1544253523048,48966
852.6939576577322,39.3064880140671,557.5419266745776,-30199.043721980346,49000
765.2975424786117,77.62087348130012,497.0235556659443,-2888.5131787590035,49033
530.9394268598667,119.14277149705725,921.5345896926495,-29732.975017149027,49066
440.91519947910524,863.6121814796269,199.85394632560522,-5629.374012765904,49100
738.9925574726717,236.2941379785504,118.43141475132347,-1527.241070921354,49133
142.57837048544724,572.4377695435549,230.7725974184145,-1100.833100945878,49166
256.1214755521171,526.392439155427,126.65733388738221,-1375.4190670929202,49200
154.46942747809516,527.7073052365298,316.18609055077576,-6871.104233612268,49233
663.9435216944285,330.19126568293575,90.3825204339866,-17526.184200102878,49266
219.7473855379731,855.7032195802468,423.6578808425497,-6676.259647676252,49300
284.35189466574684,819.4205269579229,208.40236261338598,-109.36577147635919,49333
308.2792907786989,202.75878607790156,701.7136167981921,-668.5070903963406,49366
160.62404719362686,598.7119507743269,252.15972405165664,-1091.7780586638141,49400
291.8030157486382,447.43354227288046,220.9120715743482,-2856.1637637451063,49433
153.9090640605679,404.9771798486205,297.0740199711255,-3434.0209201068774,49466
170.3678557471084,408.2314973544678,600.9434249577909,-8159.676591723187,49500
484.49064854794864,216.8434656065454,726.0612921785598,-3809.4457866620987,49533
209.76385506484746,675.5918991690393,428.2160669568577,-143.4217710088045,49566
590.596997583754,106.77149829845871,474.78626770369,-659.067192314995,49600
144.15091151790864,389.3856580595075,332.9879877713309,-203.648012240748,49633
369.0176384553132,209.2040387223756,311.26516027335924,-211.30538222104525,49666
358.4739948896047,142.28492541376264,277.79885134038534,-430.3863637003175,49700
264.389863648363,117.13522069766529,202.0060464535772,-104.79453660892467,49733
202.5561650505854,62.202329731267454,134.75062725349,-295.2772615873616,49766
126.46565085558863,221.82425476038458,44.65179115680962,-251.31340032202144,49800
172.6478437704003,103.93244529862761,44.65422712353222,-80.53771135846705,49833
158.29087149927503,50.46781152378217,117.27194422260223,-277.8732947526073,49866
83.23358539918269,122.93900926882402,28.757607689096815,-214.51078479088926,49900
